consumer_tax_level;consumer;type;resource;resource_tax_level;reference;;;
species;Tetranychus urticae;parasiteOf;Gerbera;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Gerbera jamesonii;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Glycine max;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Gossypium ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Gypsophila;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Hedera helix;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Humulus lupulus;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Ilex crenata;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Impatiens ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Ipomoea batatas;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Lactuca sativa;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Malus domestica;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Manihot esculenta;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Medicago sativa;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Mentha ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Nicotiana tabacum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Orchidaceae ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Oryza sativa;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Papaver orientale;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Pelargonium ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Phaseolus ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Phaseolus vulgaris;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Phoenix dactylifera;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Prunus avium;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Prunus cerasus;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Prunus domestica;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Prunus dulcis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Prunus persica;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Prunus salicina;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Pueraria montana;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Pyrus communis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Rhododendron ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Ribes nigrum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Ribes rubrum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Ricinus communis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Rosa ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Rosa chinensis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Rubus idaeus;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Rubus loganobaccus;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Salvia splendens;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Sechium edule;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Sesamum indicum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Solanum lycopersicum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Solanum melongena;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Sorghum bicolor;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Stachys arvensis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Terminalia catappa;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Tilia cordata;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Trifolium repens;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Trifolium vesiculosum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Vicia faba;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Vicia sativa;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Vigna angularis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Vigna radiata;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Vigna unguiculata;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Viola odorata;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Vitis vinifera;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Withania somnifera;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Zantedeschia aethiopica;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Zea mays;species;https://www.cabi.org/isc/datasheet/53366;;;
genus;Tylenchus;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
species;Waitea circinata;parasiteOf;Agrostis capillaris;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Agrostis stolonifera;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Agrostis stolonifera;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Cynodon dactylon;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Festuca arundinacea;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Festuca nigrescens;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Lolium perenne;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Panicum tennesseense;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Panicum virgatum;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Paspalum vaginatum;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Paspalum vaginatum;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Pennisetum clandestinum;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Poa annua;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Poa pratensis;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Poa trivialis;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Setaria italica;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Trifolium aestivum;species;FungalDataBase;;;
species;Waitea circinata;parasiteOf;Trifolium subterraneum;species;FungalDataBase;;;
species;Woronina pythii;parasiteOf;Pythium;genus;Farr, D.F., & Rossman, A.Y. Fungal Databases, U.S. National Fungus Collections, ARS, USDA. Retrieved October 15, 2018, from https://nt.ars-grin.gov/fungaldatabases/;;;
species;Woronina pythii;parasiteOf;Pythium;genus;10.3389/fmicb.2014.00244;;;
genus;Xiphinema;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
species;Absidia glauca;eats;Soil Organic Matter;NA;;;;
genus;Acrobeles;eats;Archaea;regnum;NEMAGuild;;;
genus;Acrobeles;eats;Bacteria;regnum;NEMAGuild;;;
genus;Acrobeloides;eats;Archaea;regnum;NEMAGuild;;;
genus;Acrobeloides;eats;Bacteria;regnum;NEMAGuild;;;
genus;Alaimus;eats;Archaea;regnum;NEMAGuild;;;
genus;Alaimus;eats;Bacteria;regnum;NEMAGuild;;;
genus;Alicorhagia;eats;Nematoda;phylum;10.1007/BF01193873;;;
genus;Allovahlkampfia;eats;Archaea;regnum;;;;
genus;Amphidelus;eats;Archaea;regnum;NEMAGuild;;;
genus;Amphidelus;eats;Bacteria;regnum;NEMAGuild;;;
genus;Anatonchus;eats;Chromista;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Anatonchus;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Anatonchus;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Anatonchus;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Anatonchus;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Aphelenchoides;eats;Fungi;regnum;NEMAGuild;;;
genus;Aphelenchus;eats;Fungi;regnum;NEMAGuild;;;
genus;Apiotrichum;eats;Soil Organic Matter;NA;;;;
species;Apiotrichum porosum;eats;Soil Organic Matter;NA;;;;
genus;Aporcelaimellus;eats;Chromista;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Aporcelaimellus;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Aporcelaimellus;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Aporcelaimellus;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Aporcelaimellus;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
family;Apusomonadidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Apusomonadidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Apusomonadidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Apusomonadidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Apusomonadidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Apusomonadidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
regnum;Archaea;eats;Soil Organic Matter;NA;;;;
genus;Archaeorhizomyces;eats;Soil Organic Matter;NA;;;;
species;Archaeorhizomyces borealis;eats;Soil Organic Matter;NA;;;;
species;Archaeorhizomyces finlayi;eats;Soil Organic Matter;NA;;;;
species;Articulospora proliferata;eats;Soil Organic Matter;NA;;;;
genus;Ascobolus;eats;Soil Organic Matter;NA;Funguild;;;
species;Ascobolus stercorarius;eats;Soil Organic Matter;NA;Funguild;;;
species;Asterostroma andinum;eats;Soil Organic Matter;NA;;;;
genus;Auxarthron;eats;Soil Organic Matter;NA;;;;
phylum;Bacillariophyta;eats;Light;NA;;;;
regnum;Bacteria;eats;Soil Organic Matter;NA;;;;
genus;Basiria;eats;Angiosperma;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Bastiania;eats;Archaea;regnum;NEMAGuild;;;
genus;Bastiania;eats;Bacteria;regnum;NEMAGuild;;;
family;Bicosoecidae;eats;Bacteria;regnum;;pred1 intercepteur;;
family;Bicosoecidae;eats;Archaea;regnum;;pred1 intercepteur;;
family;Bicosoecidae;eats;Bacillariophyta;regnum;;pred1 intercepteur;;
family;Bicosoecidae;eats;Ochrophyta;regnum;;pred1 intercepteur;;
family;Bicosoecidae;eats;Chlorophyta;regnum;;pred1 intercepteur;;
family;Bicosoecidae;eats;Euglenozoa;regnum;;pred1 intercepteur;;
species;Bisporella citrina;eats;Decaying_wood;NA;Funguild;;;
genus;Bodo;eats;Archaea;regnum;;;;
species;Bolbitius vitellinus;eats;Soil Organic Matter;NA;Funguild;;;
genus;Boleodorus;eats;Angiosperma;phylum;NEMAGuild;PMCID: PMC2619405;;
species;Boudiera acanthospora;eats;Soil Organic Matter;NA;;;;
species;Brachyphoris oviparasitica;eats;Soil Organic Matter;NA;;;;
genus;Bullera;eats;Soil Organic Matter;NA;;;;
genus;Camarophyllus;eats;Soil Organic Matter;NA;;;;
species;Campanella subdendrophora;eats;Soil Organic Matter;NA;;;;
genus;Catenaria;eats;Soil Organic Matter;NA;;;;
genus;Cephalobus;eats;Archaea;regnum;NEMAGuild;;;
genus;Cephalobus;eats;Bacteria;regnum;NEMAGuild;;;
family;Cercomonadidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Cercomonadidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Cercomonadidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Cercomonadidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Cercomonadidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Cercomonadidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
species;Chaetosphaeria ciliata;eats;Soil Organic Matter;NA;;;;
species;Cheilymenia stercorea;eats;Soil Organic Matter;NA;Funguild;;;
family;Chlamydophryidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Chlamydophryidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Chlamydophryidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Chlamydophryidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Chlamydophryidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Chlamydophryidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
phylum;Chlorophyta;eats;Light;NA;;;;
species;Choleva angustata;eats;Fungi;regnum;;;;
genus;Chromosera;eats;Soil Organic Matter;NA;;;;
class;Chrysophyceae;eats;Bacteria;regnum;;pred1 intercepteur;;
class;Chrysophyceae;eats;Archaea;regnum;;pred1 intercepteur;;
class;Chrysophyceae;eats;Bacillariophyta;regnum;;pred1 intercepteur;;
class;Chrysophyceae;eats;Ochrophyta;regnum;;pred1 intercepteur;;
class;Chrysophyceae;eats;Chlorophyta;regnum;;pred1 intercepteur;;
class;Chrysophyceae;eats;Euglenozoa;regnum;;pred1 intercepteur;;
genus;Cladosporium;eats;Soil Organic Matter;NA;;;;
genus;Clarkus;eats;Chromista;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Clarkus;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Clarkus;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Clarkus;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Clarkus;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
class;Collembola;eats;Fungi;regnum;;;;
class;Colpodea;eats;Apusomonadidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Cercomonadidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Chlamydophryidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Echinamoebidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Euglyphidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Hartmannellidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Heteromitidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Paulinellidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Sphenoderiidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Stemonitidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Thaumatomastigidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Trinematidae;family;;pred2 assoc au substrat;;
class;Colpodea;eats;Fungi;regnum;;predateur champi;;
species;Craterocolla cerasi;eats;Soil Organic Matter;NA;;;;
species;Cryphonectria parasitica;eats;Decaying_wood;NA;Funguild;;;
species;Cyphellophora sessilis;eats;Soil Organic Matter;NA;;;;
genus;Cystobasidium;eats;Ascomycota;phylum;"FunGuild; The Rasputin Effect: When Commensals and Symbionts Become Parasitic";;;
genus;Dictyosporium;eats;Soil Organic Matter;NA;;;;
genus;Dioszegia;eats;Soil Organic Matter;NA;;;;
species;Dioszegia crocea;eats;Soil Organic Matter;NA;;;;
genus;Diplogasteroides;eats;Chromista;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Diplogasteroides;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Diplogasteroides;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Diplogasteroides;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Diplogasteroides;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Discolaimus;eats;Chromista;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Discolaimus;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Discolaimus;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Discolaimus;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Discolaimus;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
species;Dissophora decumbens;eats;Soil Organic Matter;NA;;;;
genus;Ditylenchus;eats;Fungi;regnum;NEMAGuild;;;
family;Echinamoebidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Echinamoebidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Echinamoebidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Echinamoebidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Echinamoebidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Echinamoebidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
genus;Ecumenicus;eats;Angiosperma;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Ecumenicus;eats;Archaea;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Ecumenicus;eats;Bacteria;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Ecumenicus;eats;Chlorophyta;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Ecumenicus;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Ecumenicus;eats;Fungi;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Ecumenicus;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Ecumenicus;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Ecumenicus;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
family;Elateridae;eats;Angiosperma;phylum;;;;
genus;Endochytrium;eats;Soil Organic Matter;NA;;;;
genus;Eosentomon;eats;Fungi;regnum;;;;
genus;Eucephalobus;eats;Archaea;regnum;NEMAGuild;;;
genus;Eucephalobus;eats;Bacteria;regnum;NEMAGuild;;;
phylum;Euglenozoa;eats;Light;NA;;;;
family;Euglyphidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Euglyphidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Euglyphidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Euglyphidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Euglyphidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Euglyphidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
genus;Eumonhystera;eats;Archaea;regnum;NEMAGuild;;;
genus;Eumonhystera;eats;Bacteria;regnum;NEMAGuild;;;
species;Filobasidium stepposum;eats;Soil Organic Matter;NA;;;;
species;Geastrum saccatum;eats;Soil Organic Matter;NA;;;;
family;Geophilidae;eats;Collembola;class;0.1111/oik.04885;;;
family;Geophilidae;eats;Diptera;order;0.1111/oik.04885;;;
family;Geophilidae;eats;Lumbricidae;family;0.1111/oik.04885;;;
family;Geophilidae;eats;Staphylinidae;family;0.1111/oik.04885;;;
family;Geophilidae;eats;Araneae;order;0.1111/oik.04885;;;
family;Geophilidae;eats;Astigmata;order;0.1111/oik.04885;;;
family;Geophilidae;eats;Endeostigmata;order;0.1111/oik.04885;;;
family;Geophilidae;eats;Mesostigmata;order;0.1111/oik.04885;;;
family;Geophilidae;eats;Oribatida;order;0.1111/oik.04885;;;
family;Geophilidae;eats;Trombidiformes;order;0.1111/oik.04885;;;
genus;Gongronella;eats;Soil Organic Matter;NA;;;;
species;Gongronella butleri;eats;Soil Organic Matter;NA;;;;
species;Guepiniopsis buccina;eats;Decaying_wood;NA;Funguild;;;
species;Halteromyces radiatus;eats;Soil Organic Matter;NA;;;;
family;Hartmannellidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Hartmannellidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Hartmannellidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Hartmannellidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Hartmannellidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Hartmannellidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
family;Heteromitidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Heteromitidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Heteromitidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Heteromitidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Heteromitidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Heteromitidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
species;Histiostoma feroniarum;eats;Fungi;regnum;;;;
species;Hodophilus hymenocephalus;eats;Soil Organic Matter;NA;;;;
species;Holwaya mucida;eats;Soil Organic Matter;NA;;;;
genus;Hyalorbilia;eats;Soil Organic Matter;NA;;;;
genus;Hygrocybe;eats;Soil Organic Matter;NA;;;;
species;Hygrocybe reidii;eats;Soil Organic Matter;NA;;;;
species;Hymenochaetopsis olivacea;eats;Decaying_wood;NA;Funguild;;;
species;Hymenoscyphus repandus;eats;Soil Organic Matter;NA;;;;
species;Hyphodiscus hymeniophilus;eats;Soil Organic Matter;NA;;;;
species;Hyphodontia rimosissima;eats;Soil Organic Matter;NA;;;;
species;Iodophanus carneus;eats;Soil Organic Matter;NA;Funguild;;;
genus;Isolaimium;eats;Archaea;regnum;NEMAGuild;;;
genus;Isolaimium;eats;Bacteria;regnum;NEMAGuild;;;
genus;Itersonilia;eats;Soil Organic Matter;NA;Funguild;;;
species;Itersonilia perplexans;eats;Soil Organic Matter;NA;Funguild;;;
species;Kuzuhaea moniliformis;eats;Soil Organic Matter;NA;;;;
species;Leptomyxa reticulata;eats;Archaea;regnum;;;;
family;Leptophryidae;eats;Apusomonadidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Cercomonadidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Chlamydophryidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Echinamoebidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Euglyphidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Hartmannellidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Heteromitidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Paulinellidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Sphenoderiidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Stemonitidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Thaumatomastigidae;family;;pred2 assoc au substrat;;
family;Leptophryidae;eats;Trinematidae;family;;pred2 assoc au substrat;;
family;Lithobiidae;eats;Collembola;class;0.1111/oik.04885;;;
family;Lithobiidae;eats;Diptera;order;0.1111/oik.04885;;;
family;Lithobiidae;eats;Lumbricidae;family;0.1111/oik.04885;;;
family;Lithobiidae;eats;Staphylinidae;family;0.1111/oik.04885;;;
family;Lithobiidae;eats;Araneae;order;0.1111/oik.04885;;;
family;Lithobiidae;eats;Astigmata;order;0.1111/oik.04885;;;
family;Lithobiidae;eats;Endeostigmata;order;0.1111/oik.04885;;;
family;Lithobiidae;eats;Mesostigmata;order;0.1111/oik.04885;;;
family;Lithobiidae;eats;Oribatida;order;0.1111/oik.04885;;;
family;Lithobiidae;eats;Trombidiformes;order;0.1111/oik.04885;;;
class;Litostomatea;eats;Chrysophyceae;family;;pred2 assoc au substrat;;
class;Litostomatea;eats;Oligohymenophorea;family;;pred2 assoc au substrat;;
class;Litostomatea;eats;Bicosoecidae;family;;pred2 assoc au substrat;;
class;Litostomatea;eats;Salpingoecidae;family;;pred2 assoc au substrat;;
class;Litostomatea;eats;Siluaniidae;family;;pred2 assoc au substrat;;
class;Litostomatea;eats;Stephanoecidae;family;;pred2 assoc au substrat;;
class;Litostomatea;eats;Mallomonadaceae;family;;pred2 assoc au substrat;;
class;Litostomatea;eats;Myxochloridaceae;family;;pred2 assoc au substrat;;
class;Litostomatea;eats;Ochromonadaceae;family;;pred2 assoc au substrat;;
species;Lonchoptera lutea;eats;Fungi;regnum;;;;
family;Mallomonadaceae;eats;Bacteria;regnum;;pred1 intercepteur;;
family;Mallomonadaceae;eats;Archaea;regnum;;pred1 intercepteur;;
family;Mallomonadaceae;eats;Bacillariophyta;regnum;;pred1 intercepteur;;
family;Mallomonadaceae;eats;Ochrophyta;regnum;;pred1 intercepteur;;
family;Mallomonadaceae;eats;Chlorophyta;regnum;;pred1 intercepteur;;
family;Mallomonadaceae;eats;Euglenozoa;regnum;;pred1 intercepteur;;
species;Melastiza contorta;eats;Soil Organic Matter;NA;;;;
genus;Mesodorylaimus;eats;Angiosperma;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Mesodorylaimus;eats;Archaea;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Mesodorylaimus;eats;Bacteria;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Mesodorylaimus;eats;Chlorophyta;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Mesodorylaimus;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Mesodorylaimus;eats;Fungi;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Mesodorylaimus;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Mesodorylaimus;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Mesodorylaimus;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Mesorhabditis;eats;Archaea;regnum;NEMAGuild;;;
genus;Mesorhabditis;eats;Bacteria;regnum;NEMAGuild;;;
order;Mesostigmata;eats;Nematoda;phylum;;;;
order;Mesostigmata;eats;Enchytraeidae;family;;;;
order;Mesostigmata;eats;Collembola;class;;;;
order;Mesostigmata;eats;Astigmata;order;;;;
order;Mesostigmata;eats;Endeostigmata;order;;;;
order;Mesostigmata;eats;Mesostigmata;order;;;;
order;Mesostigmata;eats;Oribatida;order;;;;
genus;Metateratocephalus;eats;Archaea;regnum;NEMAGuild;;;
genus;Metateratocephalus;eats;Bacteria;regnum;NEMAGuild;;;
genus;Mortierella;eats;Soil Organic Matter;NA;;;;
genus;Mucor;eats;Soil Organic Matter;NA;;;;
species;Multiclavula mucida;eats;Soil Organic Matter;NA;;;;
species;Mykophagophrys terricola;eats;Fungi;regnum;;;;
