"";"x"
"872";"uncultured Bacteroides sp."
"873";"uncultured Bdellovibrio sp."
"874";"uncultured Bellilinea sp."
"875";"uncultured Blastochloris sp."
"876";"uncultured Bradyrhizobium sp."
"877";"uncultured Burkholderia sp."
"878";"uncultured Byssovorax sp."
"879";"uncultured Caldilinea sp."
"880";"uncultured Candidatus Koribacter sp."
"881";"uncultured Candidatus Microthrix sp."
"882";"uncultured Candidatus Nephrothrix sp."
"883";"uncultured Candidatus Nitrosopumilus sp."
"884";"uncultured Candidatus Solibacter sp."
"885";"uncultured Caulobacter sp."
"886";"uncultured Chitinophaga sp."
"887";"uncultured Chloroflexus sp."
"888";"uncultured Chondromyces sp."
"889";"uncultured Comamonas sp."
"890";"uncultured Conexibacter sp."
"891";"uncultured Crocinitomix sp."
"892";"uncultured Cupriavidus sp."
"893";"uncultured Curvibacter sp."
"894";"uncultured Cystobacter sp."
"895";"uncultured Cytophaga sp."
"896";"uncultured Dactylosporangium sp."
"897";"uncultured Dehalococcoides sp."
"898";"uncultured Demequina sp."
"899";"uncultured Denitratisoma sp."
"900";"uncultured Derxia sp."
"901";"uncultured Desulfitobacterium sp."
"902";"uncultured Desulfotalea sp."
"903";"uncultured Desulfovibrio sp."
"904";"uncultured Desulfovirga sp."
"905";"uncultured Desulfuromonas sp."
"906";"uncultured Dokdonella sp."
"907";"uncultured Dongia sp."
"908";"uncultured Dyella sp."
"909";"uncultured Edaphobacter sp."
"910";"uncultured Elusimicrobium sp."
"911";"uncultured Erythrobacter sp."
"912";"uncultured Ferribacterium sp."
"913";"uncultured Ferrimicrobium sp."
"914";"uncultured Ferrithrix sp."
"915";"uncultured Ferruginibacter sp."
"916";"uncultured Fibrobacter sp."
"917";"uncultured Flavisolibacter sp."
"918";"uncultured Flavobacterium sp."
"919";"uncultured Flexibacter sp."
"920";"uncultured Fluviicola sp."
"921";"uncultured Frankia sp."
"922";"uncultured Fusobacterium sp."
"923";"uncultured Gaiella sp."
"924";"uncultured Gemmata sp."
"925";"uncultured Gemmatimonas sp."
"926";"uncultured Geoalkalibacter sp."
"927";"uncultured Geobacter sp."
"928";"uncultured Georgfuchsia sp."
"929";"uncultured Geothermobacter sp."
"930";"uncultured Haliangium sp."
"931";"uncultured Haliea sp."
"932";"uncultured Haliscomenobacter sp."
"933";"uncultured Herbaspirillum sp."
"934";"uncultured Herminiimonas sp."
"935";"uncultured Holophaga sp."
"936";"uncultured Hydrogenophaga sp."
"937";"uncultured Hyphomicrobium sp."
"938";"uncultured Iamia sp."
"939";"uncultured Ignavibacterium sp."
"940";"uncultured Ilumatobacter sp."
"941";"uncultured Isosphaera sp."
"942";"uncultured Janibacter sp."
"943";"uncultured Kineococcus sp."
"944";"uncultured Kineosporia sp."
"945";"uncultured Kofleria sp."
"946";"uncultured Ktedonobacter sp."
"947";"uncultured Lacibacter sp."
"948";"uncultured Legionella sp."
"949";"uncultured Lentzea sp."
"950";"uncultured Levilinea sp."
"951";"uncultured Lishizhenia sp."
"952";"uncultured Longilinea sp."
"953";"uncultured Luteolibacter sp."
"954";"uncultured Lysobacter sp."
"955";"uncultured Malonomonas sp."
"956";"uncultured Marmoricola sp."
"957";"uncultured Massilia sp."
"958";"uncultured Mesorhizobium sp."
"959";"uncultured Methylobacillus sp."
"960";"uncultured Methylocapsa sp."
"961";"uncultured Methylocella sp."
"962";"uncultured Methylophilus sp."
"963";"uncultured Methylosinus sp."
"964";"uncultured Microlunatus sp."
"965";"uncultured Micromonospora sp."
"966";"uncultured Microvirga sp."
"967";"uncultured Moorella sp."
"968";"uncultured Mucilaginibacter sp."
"969";"uncultured Mycobacterium sp."
"970";"uncultured Nannocystis sp."
"971";"uncultured Niastella sp."
"972";"uncultured Nitratireductor sp."
"973";"uncultured Nitrosococcus sp."
"974";"uncultured Nitrososphaera sp."
"975";"uncultured Nitrosospira sp."
"976";"uncultured Nitrospira sp."
"977";"uncultured Nocardioides sp."
"978";"uncultured Novosphingobium sp."
"979";"uncultured Ohtaekwangia sp."
"980";"uncultured Opitutus sp."
"981";"uncultured Pasteuria sp."
"982";"uncultured Pedobacter sp."
"983";"uncultured Pedomicrobium sp."
"984";"uncultured Pedosphaera sp."
"985";"uncultured Pelobacter sp."
"986";"uncultured Phaselicystis sp."
"987";"uncultured Phenylobacterium sp."
"988";"uncultured Pirellula sp."
"989";"uncultured Planctomyces sp."
"990";"uncultured Polaromonas sp."
"991";"uncultured Polyangium sp."
"992";"uncultured Propionivibrio sp."
"993";"uncultured Prosthecobacter sp."
"994";"uncultured Prosthecomicrobium sp."
"995";"uncultured Pseudolabrys sp."
"996";"uncultured Pseudomonas sp."
"997";"uncultured Pseudonocardia sp."
"998";"uncultured Rhizobium sp."
"999";"uncultured Rhizomicrobium sp."
"1000";"uncultured Rhodobium sp."
"1001";"uncultured Rhodococcus sp."
"1002";"uncultured Rhodoferax sp."
"1003";"uncultured Rhodomicrobium sp."
"1004";"uncultured Rhodopirellula sp."
"1005";"uncultured Rhodoplanes sp."
"1006";"uncultured Rhodopseudomonas sp."
"1007";"uncultured Rhodothermus sp."
"1008";"uncultured Roseiflexus sp."
"1009";"uncultured Rubrobacter sp."
"1010";"uncultured Saccharibacillus sp."
"1011";"uncultured Saccharophagus sp."
"1012";"uncultured Segetibacter sp."
"1013";"uncultured Singulisphaera sp."
"1014";"uncultured Sinomonas sp."
"1015";"uncultured Skermanella sp."
"1016";"uncultured Solibacter sp."
"1017";"uncultured Solirubrobacter sp."
"1018";"uncultured Solitalea sp."
"1019";"uncultured Sphaerobacter sp."
"1020";"uncultured Sphingobium sp."
"1021";"uncultured Sphingomonas sp."
"1022";"uncultured Sphingosinicella sp."
"1023";"uncultured Sporichthya sp."
"1024";"uncultured Stella sp."
"1025";"uncultured Steroidobacter sp."
"1026";"uncultured Sterolibacterium sp."
"1027";"uncultured Streptomyces sp."
"1028";"uncultured Syntrophobacter sp."
"1029";"uncultured Syntrophus sp."
"1030";"uncultured Terriglobus sp."
"1031";"uncultured Terrimonas sp."
"1032";"uncultured Thermaerobacter sp."
"1033";"uncultured Thermoanaerobacter sp."
"1034";"uncultured Thermoflavimicrobium sp."
"1035";"uncultured Thermoleophilum sp."
"1036";"uncultured Thermomonas sp."
"1037";"uncultured Thiobacillus sp."
"1038";"uncultured Thiohalospira sp."
"1039";"uncultured Thiorhodospira sp."
"1040";"uncultured Turneriella sp."
"1041";"uncultured Verrucomicrobium sp."
"1042";"uncultured Woodsholea sp."
"1043";"uncultured Xanthomonas sp."
"1044";"uncultured Zavarzinella sp."
"1045";"Undibacterium"
"1046";"Uropoda orbicularis"
"1047";"Urostyla grandis"
"1048";"Vampyrella pendula"
"1049";"Variibacter gotjawalensis"
"1050";"Variovorax"
"1051";"Vaucheria terrestris"
"1052";"Veigaia"
"1053";"Veigaia nemorensis"
"1054";"Veigaia sp. 2 APGD-2010"
"1055";"Vermamoeba vermiformis"
"1056";"Veronica"
"1057";"Vertagopus sp. YB-2012"
"1058";"Vexillifera"
"1059";"Vigna angularis"
"1060";"Vorticella campanula"
"1061";"Vorticella sp. PPS-2011b"
"1062";"Vorticellides"
"1063";"Vulgatibacter incomptus"
"1064";"Waitea circinata"
"1065";"Willowsia nigromaculata"
"1066";"Woronina pythii"
"1067";"Xanthonema"
"1068";"Xanthonema bristolianum"
"1069";"Xanthonema sp. 735"
"1070";"Xiphinema"
"1071";"Xiphinema diversicaudatum"
"1072";"Yarrowia lipolytica"
"1073";"Yarrowia sp. 25L"
"1074";"Zea mays"
"1075";"Zoothamnium"
