"";"retained_tax";"class";"fam";"codeFW"
"342";"Fuscheria";27;"Acropisthiidae";"Pred2free::Protist"
"343";"Fuscheria sp. VBOEF-2011";27;"Acropisthiidae";"Pred2free::Protist"
"344";"Gaeumannomyces graminis";24;"Magnaporthaceae";"Parasitic::Gaeumannomyces"
"345";"Gaiella";17;"Gaiellaceae";"Decomposers::Bacterie"
"346";"Gaiella occulta";17;"Gaiellaceae";"Decomposers::Bacterie"
"347";"Geastrum saccatum";7;"Geastraceae";"Saprotroph::Fungi"
"348";"Gemmata";17;"Gemmataceae";"Miners::Bacterie"
"349";"Gemmata obscuriglobus";17;"Gemmataceae";"Miners::Bacterie"
"350";"Gemmata sp. Fl1-1";17;"Gemmataceae";"Miners::Bacterie"
"351";"Gemmatimonas";17;"Gemmatimonadaceae";"Miners::Bacterie"
"352";"Geobacter";17;"Geobacteraceae";"Decomposers::Bacterie"
"353";"Geobacter anodireducens";17;"Geobacteraceae";"Decomposers::Bacterie"
"354";"Geobacter sp. enrichment culture clone VanCtr1";17;"Geobacteraceae";"Decomposers::Bacterie"
"355";"Geodermatophilus";17;"Geodermatophilaceae";"Decomposers::Bacterie"
"356";"Geodermatophilus sp. Z2R53";17;"Geodermatophilaceae";"Decomposers::Bacterie"
"357";"Georgfuchsia toluolica";17;"Rhodocyclaceae";"Decomposers::Bacterie"
"358";"Geothrix";17;"Holophagaceae";"Miners::Bacterie"
"359";"Gliricola sp. 274";15;"Gyropidae";"Parasitic::Gliricola"
"360";"Glomus";24;"Glomeraceae";"ACM::Glomeromyc"
"361";"Glomus invermaium";24;"Glomeraceae";"ACM::Glomeromyc"
"362";"Glomus sp. 9 SUN-2011";24;"Glomeraceae";"ACM::Glomeromyc"
"363";"Gongronella";7;"Cunninghamellaceae";"Saprotroph::Fungi"
"364";"Gongronella butleri";7;"Cunninghamellaceae";"Saprotroph::Fungi"
"365";"Gonostomum";30;"Trachelostylidae";"Pred2attach::Protist"
"366";"Gonostomum namibiense";30;"Trachelostylidae";"Pred2attach::Protist"
"367";"Gonostomum sp. JS-2012";30;"Trachelostylidae";"Pred2attach::Protist"
"368";"Gonostomum strenuum";30;"Trachelostylidae";"Pred2attach::Protist"
"369";"Granulicella paludicola";17;"Acidobacteriaceae";"Miners::Bacterie"
"370";"Guepiniopsis buccina";7;"Dacrymycetaceae";"Lignotroph::Fungi"
"371";"Halteromyces radiatus";7;"Cunninghamellaceae";"Saprotroph::Fungi"
"372";"Hantzschia";23;"Bacillariaceae";"Phototroph::Algae"
"373";"Hantzschia amphioxys";23;"Bacillariaceae";"Phototroph::Algae"
"374";"Helianthus annuus";2;"Asteraceae";"Phototroph::Asteraceae"
"375";"Helicotylenchus";3;"Hoplolaimidae";"Parasitic_p::Nematode"
"376";"Helicotylenchus varicaudatus";3;"Hoplolaimidae";"Parasitic_p::Nematode"
"377";"Hemiamphisiella terricola";27;"Amphisiellidae";"Pred2free::Protist"
"378";"Henlea";4;"Enchytraeidae";"Saprophageous::Enchy"
"379";"Henlea perpusilla";4;"Enchytraeidae";"Saprophageous::Enchy"
"380";"Herbaspirillum";17;"Oxalobacteraceae";"Decomposers::Bacterie"
"381";"Herpetomonas";26;"Trypanosomatidae";"Parasitic::Trypanosomatidae"
"382";"Hesperelaea palmeri";2;"Oleaceae";"Phototroph::non-legume"
"383";"Heterococcus caespitosus";23;"Heteropediaceae";"Phototroph::Algae"
"384";"Heterodera";3;"Heteroderidae";"Parasitic_p::Nematode"
"385";"Heteromita";20;"Heteromitidae";"Pred1attach::Protist"
"386";"Heterophrys sp. Oxford1";20;"Heterophryidae";"Pred1attach::Protist"
"387";"Hibberdia magna";23;"Hibberdiaceae";"Phototroph::Algae"
"388";"Histiostoma feroniarum";8;"Histiostomatidae";"Fungivorous::Astigmata"
"389";"Hodophilus hymenocephalus";7;"Clavariaceae";"Saprotroph::Fungi"
"390";"Holcus";2;"Poaceae";"Phototroph::Poaceae"
"391";"Holophaga sp. oral clone CA002";17;"Holophagaceae";"Miners::Bacterie"
"392";"Holwaya mucida";7;"Helotiaceae";"Saprotroph::Fungi"
"393";"Homalogastra setosa";18;"Uronematidae";"Pred1free::Protist"
"394";"Humibacter sp. Po15c";17;"Microbacteriaceae";"Decomposers::Bacterie"
"395";"Hyalorbilia sp. HOB-2016a";7;"Orbiliaceae";"Saprotroph::Fungi"
"396";"Hydrocarboniphaga";17;"Sinobacteraceae";"Opportunists::Bacterie"
"397";"Hydrogenophaga";17;"Comamonadaceae";"Decomposers::Bacterie"
"398";"Hygrocybe";7;"Hygrophoraceae";"Saprotroph::Fungi"
"399";"Hygrocybe reidii";7;"Hygrophoraceae";"Saprotroph::Fungi"
"400";"Hymenochaetopsis olivacea";7;"Hymenochaetaceae";"Lignotroph::Fungi"
"401";"Hymenoscyphus repandus";7;"Helotiaceae";"Saprotroph::Fungi"
"402";"Hyphochytrium catenoides";24;"Hyphochytriaceae";"Hyperparasitoid::Hyphochytrium"
"403";"Hyphodiscus hymeniophilus";7;"Hyaloscyphaceae";"Saprotroph::Fungi"
"404";"Hyphodontia rimosissima";7;"Corticiaceae";"Saprotroph::Fungi"
"405";"Hyphomicrobium";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"406";"Iodophanus carneus";7;"Pezizaceae";"Coprotroph::Ascomycota"
"407";"Isolaimium multistriatum";16;"Isolaimiidae";"Bacterivorous::Nematode"
"408";"Isotoma viridis";0;"Isotomidae";"Saprofungivore::Collembole"
"409";"Isotomiella minor";8;"Isotomidae";"Saprofungivore::Collembole"
"410";"Itersonilia pannonica";3;"Mrakiaceae";"Parasitic::Itersonilia"
"411";"Itersonilia perplexans";3;"Mrakiaceae";"Parasitic::Itersonilia"
"412";"Ixiolirion tataricum";2;"Ixioliriaceae";"Phototroph::non-legume"
"413";"Jaagiella alpicola";23;"Chaetophoraceae";"Phototroph::Algae"
"414";"Janibacter";17;"Intrasporangiaceae";"Decomposers::Bacterie"
"415";"Janthinobacterium";17;"Oxalobacteraceae";"Decomposers::Bacterie"
"416";"Jatrophihabitans";17;"Frankiaceae";"Decomposers::Bacterie"
"417";"Juncus";2;"Juncaceae";"Phototroph::non-legume"
"418";"Kangiella";17;"Kangiellaceae";"Opportunists::Bacterie"
"419";"Kineosporia";17;"Kineosporiaceae";"Decomposers::Bacterie"
"420";"Klebsormidium";23;"Klebsormidiaceae";"Phototroph::Algae"
"421";"Kribbella";17;"Nocardioidaceae";"Decomposers::Bacterie"
"422";"Kribbella sp. enrichment culture clone VanCtr42";17;"Nocardioidaceae";"Decomposers::Bacterie"
"423";"Ktedonobacter sp. enrichment culture clone CTBE CDB1001H01";17;"Ktedonobacteraceae";"Decomposers::Bacterie"
"424";"Kutzneria";17;"Pseudonocardiaceae";"Decomposers::Bacterie"
"425";"Kuzuhaea moniliformis";7;"Piptocephalidaceae";"Saprotoph::Zoopagales"
"426";"Labrys";17;"Xanthobacteraceae";"Decomposers::Bacterie"
"427";"Lacrymaria marina";18;"Lacrymariidae";"Pred1free::Protist"
"428";"Lamproderma sp. SAPA:100012";20;"Stemonitidae";"Pred1attach::Protist"
"429";"Legionella";17;"Legionellaceae";"Opportunists::Bacterie"
"430";"Legionella lytica";17;"Legionellaceae";"Opportunists::Bacterie"
"431";"Leifsonia";17;"Microbacteriaceae";"Decomposers::Bacterie"
"432";"Leifsonia sp. A5AGK";17;"Microbacteriaceae";"Decomposers::Bacterie"
"433";"Lepidocyrtus paradoxus";8;"Entomobryidae";"Saprofungivore::Collembole"
"434";"Lepidocyrtus sp. 1 FZ-2013";8;"Entomobryidae";"Saprofungivore::Collembole"
"435";"Leptomyxa reticulata";19;"Leptomyxidae";"Bacterivorous::Protist"
"436";"Leptomyxa sp. AS-2016b";19;"Leptomyxidae";"Bacterivorous::Protist"
"437";"Leptopharynx bromelicola";18;"Microthoracidae";"Pred1free::Protist"
"438";"Leptosphaeria biglobosa";24;"Leptosphaeriaceae";"Parasitic::Leptosphaeria"
"439";"Limonomyces roseipellis";24;"Corticiaceae";"Parasitic:Limonomyces"
"440";"Linum";2;"Linaceae";"Phototroph::non-legume"
"441";"Liochthonius sp. AD1300";15;"Brachychthoniidae";"Saprophage::Oribate"
"442";"Lithobius forficatus";14;"Lithobiidae";"Pred4::Chilopode"
"443";"Lithobius variegatus";14;"Lithobiidae";"Pred4::Chilopode"
"444";"Lonchoptera lutea";9;"Lonchopteridae";"Fungivorous::Insect"
"445";"Longidorus";3;"Longidoridae";"Parasitic_p::Nematode"
"446";"Longidorus raskii";3;"Longidoridae";"Parasitic_p::Nematode"
"447";"Longidorus vinearum";3;"Longidoridae";"Parasitic_p::Nematode"
"448";"Luedemannella sp. 119-1-07";17;"Micromonosporaceae";"Decomposers::Bacterie"
"449";"Lumbricus";24;"Lumbricidae";"Saprogeophageous::Lumb"
"450";"Lumbricus castaneus";24;"Lumbricidae";"Saprogeophageous::Lumb"
"451";"Lumbricus centralis";24;"Lumbricidae";"Saprogeophageous::Lumb"
"452";"Lumbricus friendi";24;"Lumbricidae";"Saprogeophageous::Lumb"
"453";"Lumbricus terrestris";24;"Lumbricidae";"Saprogeophageous::Lumb"
"454";"Luteimonas aestuarii";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"455";"Luticola permuticopsis";23;"Diadesmidaceae";"Phototroph::Algae"
"456";"Lysobacter sp. MS6Y-8-7";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"457";"Lysobacter sp. RHLT3-4";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"458";"Lysobacter sp. YS-37";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"459";"Magnaporthe";24;"Magnaporthaceae";"Parasitic::Magnaporthe"
"460";"Magnetospirillum";17;"Rhodospirillaceae";"Decomposers::Bacterie"
"461";"Mallomonas";21;"Mallomonadaceae";"Phytophage::Algae"
"462";"Marionina";4;"Enchytraeidae";"Saprophageous::Enchy"
"463";"Marionina cf. minutissima PDW-2010";24;"Enchytraeidae";"Saprophageous::Enchy"
"464";"Marionina clavata";4;"Enchytraeidae";"Saprophageous::Enchy"
"465";"Marionina communis";4;"Enchytraeidae";"Saprophageous::Enchy"
"466";"Marionina filiformis";24;"Enchytraeidae";"Saprophageous::Enchy"
"467";"Marionina sublitoralis";4;"Enchytraeidae";"Saprophageous::Enchy"
"468";"Marmoricola";17;"Nocardioidaceae";"Decomposers::Bacterie"
"469";"Martelella endophytica";17;"Aurantimonadaceae";"Decomposers::Bacterie"
"470";"Maryna ovata";20;"Marynidae";"Pred1attach::Protist"
"471";"Massilia";17;"Oxalobacteraceae";"Decomposers::Bacterie"
"472";"Massisteria marina";20;"Cercomonadidae";"Pred1attach::Protist"
"473";"Mayamaea";23;"Naviculaceae";"Phototroph::Algae"
"474";"Mayamaea sp. KAS1111";23;"Naviculaceae";"Phototroph::Algae"
"475";"Megalothorax";8;"Neelidae";"Saprofungivore::Collembole"
"476";"Megalothorax sp. EA040003-cs17";8;"Neelidae";"Saprofungivore::Collembole"
"477";"Megalothorax sp. EA040004-cs23";8;"Neelidae";"Saprofungivore::Collembole"
"478";"Megalothorax sp. EA040008-cs9";8;"Neelidae";"Saprofungivore::Collembole"
"479";"Melastiza contorta";7;"Pyronemataceae";"Saprotroph::Fungi"
"480";"Meloidogyne naasi";3;"Meloidogynidae";"Parasitic_p::Nematode"
"481";"Merlinius brevidens";3;"Merliniidae";"Parasitic_p::Nematode"
"482";"Merlinius cf. microdorus TSH-2005";3;"Merliniidae";"Parasitic_p::Nematode"
"483";"Merlinius joctus";3;"Merliniidae";"Parasitic_p::Nematode"
"484";"Meseres corlissi";18;"Halteriidae";"Pred1free::Protist"
"485";"Mesodorylaimus cf. nigritulus AV-2005";10;"Dorylaimidae";"Non.selective::Nematode"
"486";"Mesorhabditis sp. 334Meso1";16;"Rhabditidae";"Bacterivorous::Nematode"
"487";"Mesorhizobium";17;"Phyllobacteriaceae";"Decomposers::Bacterie"
"488";"Metarhizium";25;"Clavicipitaceae";"Parasitic::Entomopath"
"489";"Metarhizium anisopliae";25;"Clavicipitaceae";"Parasitic::Entomopath"
"490";"Metateratocephalus";16;"Teratocephalidae";"Bacterivorous::Nematode"
"491";"Methanomassiliicoccus sp. 138";5;"Methanomassiliicoccaceae";"Decomposers::Archae"
"492";"Methanomassiliicoccus sp. 142";5;"Methanomassiliicoccaceae";"Decomposers::Archae"
"493";"Methanomassiliicoccus sp. P27";5;"Methanomassiliicoccaceae";"Decomposers::Archae"
"494";"Methylobacterium";17;"Methylobacteriaceae";"Decomposers::Bacterie"
"495";"Methylosinus sporium";17;"Methylocystaceae";"Decomposers::Bacterie"
"496";"Methylosinus trichosporium";17;"Methylocystaceae";"Decomposers::Bacterie"
"497";"Micractinium";23;"Chlorellaceae";"Phototroph::Algae"
"498";"Microbacterium";17;"Microbacteriaceae";"Decomposers::Bacterie"
"499";"Microvirga";17;"Methylobacteriaceae";"Decomposers::Bacterie"
"500";"Mischococcus sphaerocephalus";23;"Mischococcaceae";"Phototroph::Algae"
"501";"Monilicaryon monilatum";27;"Dileptidae";"Pred2free::Protist"
"502";"Monocystis agilis";12;"Monocystidae";"Parasitic::Monocystis"
"503";"Monosiga ovata";18;"Salpingoecidae";"Pred1free::Protist"
"504";"Moraxella osloensis";17;"Moraxellaceae";"Opportunists::Bacterie"
"505";"Mortierella";7;"Mortierellaceae";"Saprotroph::Fungi"
"506";"Mortierella sp. MS-6";7;"Mortierellaceae";"Saprotroph::Fungi"
"507";"Mucilaginibacter";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"508";"Mucilaginibacter sp. HME7565";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"509";"Mucilaginibacter sp. UA-VH0703";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"510";"Mucor";7;"Mucoraceae";"Saprotroph::Fungi"
"511";"Multiclavula mucida";7;"Clavulinaceae";"Saprotroph::Multiclavula "
"512";"Mycobacterium";17;"Mycobacteriaceae";"Decomposers::Bacterie"
"513";"Mycobacterium sp. PSY065";17;"Mycobacteriaceae";"Decomposers::Bacterie"
"514";"Mycoplana sp. HP12Q";17;"Brucellaceae";"Decomposers::Bacterie"
"515";"Mykophagophrys terricola";11;"Grossglockneriidae";"Fungivorous::Protist"
"516";"Myrmica scabrinodis";15;"Formicidae";"Non.selective::Myrmica"
"517";"Myzus persicae";15;"Aphididae";"Phytophage::Myzus"
"518";"Nakamurella";17;"Nakamurellaceae";"Decomposers::Bacterie"
"519";"Nakamurella sp. A24MTO";17;"Nakamurellaceae";"Decomposers::Bacterie"
"520";"Nannochloris sp. JL 4-6";23;"Chlorellaceae";"Phototroph::Algae"
"521";"Neobodo designis";19;"Bodonidae";"Bacterivorous::Protist"
"522";"Neopsilenchus magnidens";4;"Tylenchidae";"Phytophage::Nematode"
"523";"Neourostylopsis";27;"Holostichidae";"Pred2free::Protist"
"524";"Niastella";17;"Chitinophagaceae";"Decomposers::Bacterie"
"525";"Nitrososphaera";5;"Nitrososphaeraceae";"Decomposers::Archae"
"526";"Nitrospira";17;"Nitrospiraceae";"Unknown::Bacterie"
"527";"Nitrospira marina";17;"Nitrospiraceae";"Unknown::Bacterie"
"528";"Nitzschia";23;"Bacillariaceae";"Phototroph::Algae"
"529";"Nitzschia pusilla";23;"Bacillariaceae";"Phototroph::Algae"
"530";"Nocardia";17;"Nocardiaceae";"Decomposers::Bacterie"
"531";"Nocardioides";17;"Nocardioidaceae";"Decomposers::Bacterie"
"532";"Nocardioides sp.";17;"Nocardioidaceae";"Decomposers::Bacterie"
"533";"Nocardioides sp. MSL 24";17;"Nocardioidaceae";"Decomposers::Bacterie"
"534";"Nocardioides sp. RW28";17;"Nocardioidaceae";"Decomposers::Bacterie"
"535";"Nocardioides sp. SSRB28-7";17;"Nocardioidaceae";"Decomposers::Bacterie"
"536";"Noctua pronuba";15;"Noctuidae";"Phytophage::Noctua"
"537";"Nolandella";20;"Hartmannellidae";"Pred1attach::Protist"
"538";"Nonomuraea";17;"Streptosporangiaceae";"Decomposers::Bacterie"
"539";"Notholca acuminata";18;"Brachionidae";"Pred1free::Protist"
"540";"Notiophilus rufipes";29;"Carabidae";"Pred4::Carabidae"
"541";"Novosphingobium";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"542";"Novosphingobium sp.";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"543";"Nuclearia";30;"Nucleariidae";"Pred2attach::Protist"
"544";"Nygolaimus cf. brachyuris JH-2004";28;"Nygolaimidae";"Pred3::Nematode"
"545";"Obertrumia georgiana";19;"Nassulidae";"Bacterivorous::Protist"
"546";"Occallatibacter riparius";17;"Acidobacteriaceae";"Miners::Bacterie"
"547";"Ochrobactrum anthropi";17;"Brucellaceae";"Decomposers::Bacterie"
"548";"Ochromonas";21;"Chromulinaceae";"Phytophage::Algae"
"549";"Ochromonas sp. CCMP2761";21;"Chromulinaceae";"Phytophage::Algae"
"550";"Ochromonas vasocystis";21;"Chromulinaceae";"Phytophage::Algae"
"551";"Octolasion";24;"Lumbricidae";"Geophageous::Lumb"
"552";"Octolasion cyaneum";24;"Lumbricidae";"Geophageous::Lumb"
"553";"Odontolaimus";28;"Oxystominidae";"Pred3::Nematode"
"554";"Oikomonas sp. SA-2.1";23;"Oikomonadaceae";"Phototroph::Algae"
"555";"Oligoflexus tunisiensis";17;"Oligoflexaceae";"Unknown::Bacterie"
"556";"Olpidium bornovanus";24;"Olpidiaceae";"Parasitic::Olpidium"
"557";"Olpidium brassicae";24;"Olpidiaceae";"Parasitic::Olpidium"
"558";"Opitutus";17;"Opitutaceae";"Decomposers::Bacterie"
"559";"Orbicula parietina";7;"Pyronemataceae";"Lignotroph::Fungi"
"560";"Orbilia sp. HOB-2016am";7;"Orbiliaceae";"Saprotroph::Fungi"
"561";"Orchesella villosa";8;"Entomobryidae";"Saprofungivore::Collembole"
"562";"Orciraptor agilis";11;"Viridiraptoridae";"Algivorous::Protist"
"563";"Oricola cellulosilytica";17;"Phyllobacteriaceae";"Decomposers::Bacterie"
"564";"Oryzihumus";17;"Intrasporangiaceae";"Decomposers::Bacterie"
"565";"Otiorhynchus armadillo";1;"Curculionidae";"Phytophage::Otiorhynchus "
"566";"Oxytricha";18;"Oxytrichidae";"Pred1free::Protist"
"567";"Paenibacillus";17;"Paenibacillaceae";"Decomposers::Bacterie"
"568";"Palaeospora spainiae";24;"Archaeosporaceae";"ACM::Glomeromyc"
"569";"Palmellopsis sp. BCP-EM1VF1";23;"Palmellaceae";"Phototroph::Algae"
"570";"Panacibacter ginsenosidivorans";17;"Chitinophagaceae";"Decomposers::Bacterie"
"571";"Panaeolus";7;"Bolbitiaceae";"Coprotroph::Basidiomycota"
"572";"Panagrolaimus sp. PS443";16;"Panagrolaimidae";"Bacterivorous::Nematode"
"573";"Panorbis viscosus";7;"Halosphaeriaceae";"Saprotroph::Fungi"
"574";"Paracercomonas";20;"Cercomonadidae";"Pred1attach::Protist"
"575";"Paracercomonas astra";20;"Cercomonadidae";"Pred1attach::Protist"
"576";"Paracercomonas compacta";20;"Cercomonadidae";"Pred1attach::Protist"
"577";"Paracercomonas filosa";20;"Cercomonadidae";"Pred1attach::Protist"
"578";"Paracercomonas paralaciniaegerens";20;"Cercomonadidae";"Pred1attach::Protist"
"579";"Paracercomonas sp. HFCC 913";20;"Cercomonadidae";"Pred1attach::Protist"
"580";"Paracercomonas sp. HFCC 918";20;"Cercomonadidae";"Pred1attach::Protist"
"581";"Parafilimonas terrae";17;"Chitinophagaceae";"Decomposers::Bacterie"
"582";"Paraglomus";24;"Paraglomeraceae";"ACM::Glomeromyc"
"583";"Paraglomus brasilianum";24;"Paraglomeraceae";"ACM::Glomeromyc"
"584";"Paraphysomonas";21;"Paraphysomonadaceae";"Phytophage::Algae"
"585";"Paraphysomonas sp. 22 JMS-2012";21;"Paraphysomonadaceae";"Phytophage::Algae"
"586";"Paratylenchus";3;"Tylenchulidae";"Parasitic_p::Nematode"
"587";"Paratylenchus cf. neoamblicephalus";3;"Tylenchulidae";"Parasitic_p::Nematode"
"588";"Paratylenchus microdorus";3;"Tylenchulidae";"Parasitic_p::Nematode"
"589";"Paratylenchus similis";3;"Tylenchulidae";"Parasitic_p::Nematode"
"590";"Paucimonas lemoignei";17;"Burkholderiaceae";"Decomposers::Bacterie"
"591";"Paulinella";20;"Paulinellidae";"Pred1attach::Protist"
"592";"Pedobacter";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"593";"Pedobacter luteus";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"594";"Pedobacter sp. FGR-05";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"595";"Pedomicrobium";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"596";"Pedosphaera parvula";17;"Verrucomicrobia subdivision 3";"Decomposers::Bacterie"
"597";"Pelobacter";17;"Desulfuromonadaceae";"Decomposers::Bacterie"
"598";"Pelomonas sp. CR2";17;"Comamonadaceae";"Decomposers::Bacterie"
"599";"Pelomonas sp. K89";17;"Comamonadaceae";"Decomposers::Bacterie"
"600";"Pemphigus";15;"Pemphigidae";"Phytophage::Pemphigus"
"601";"Penicillium";7;"Aspergillaceae";"Saprotroph::Fungi"
"602";"Penicillium sp. D01";7;"Aspergillaceae";"Saprotroph::Fungi"
"603";"Penicillium sp. SDI-2014f";7;"Aspergillaceae";"Saprotroph::Fungi"
"604";"Peniophorella praetermissa";7;"Corticiaceae";"Saprotroph::Fungi"
"605";"Pentapharsodinium tyrrhenicum";23;"Peridiniaceae";"Phototroph::Algae"
"606";"Peregrinia clavideferens";20;"Thaumatomastigidae";"Pred1attach::Protist"
"607";"Perlucidibaca";17;"Moraxellaceae";"Opportunists::Bacterie"
"608";"Persicaria";2;"Polygonaceae";"Phototroph::Polygonaceae"
"609";"Peyerimhoffia alpina";15;"Sciaridae";"Saprophage::Diptere"
"610";"Phacelia tanacetifolia";2;"Hydrophyllaceae";"Phototroph::non-legume"
"611";"Phaeosphaeria";7;"Phaeosphaeriaceae";"Saprotroph::Fungi"
"612";"Phenylobacterium";17;"Caulobacteraceae";"Decomposers::Bacterie"
"613";"Phenylobacterium lituiforme";17;"Caulobacteraceae";"Decomposers::Bacterie"
"614";"Phenylobacterium sp. B6.10-61";17;"Caulobacteraceae";"Decomposers::Bacterie"
"615";"Phenylobacterium sp. enrichment culture clone LplF-80";17;"Caulobacteraceae";"Decomposers::Bacterie"
"616";"Phenylobacterium sp. URHA0004";17;"Caulobacteraceae";"Decomposers::Bacterie"
"617";"Phialina salinarum";27;"Lacrymariidae";"Pred2free::Protist"
"618";"Pholiota squarrosa";7;"Strophariaceae";"Saprotroph::Fungi"
"619";"Phoma herbarum";3;"Didymellaceae";"Parasitic::Phoma"
"620";"Phycisphaera mikurensis";17;"Phycisphaeraceae";"Miners::Bacterie"
"621";"Phyllobacterium";17;"Phyllobacteriaceae";"Decomposers::Bacterie"
"622";"Picea";2;"Pinaceae";"Phototroph::Pinales"
"623";"Picea abies";2;"Pinaceae";"Phototroph::Pinales"
"624";"Pilogalumna rosauraruizae";15;"Galumnidae";"Saprophage::Oribate"
"625";"Pinus";2;"Pinaceae";"Phototroph::Pinales"
"626";"Piptocephalis graefenhanii";7;"Piptocephalidaceae";"Saprotoph::Zoopagales"
"627";"Pirellula sp.";17;"Planctomycetaceae";"Miners::Bacterie"
"628";"Pirellula staleyi";17;"Planctomycetaceae";"Miners::Bacterie"
"629";"Pisum";2;"Fabaceae";"Phototroph::Fabaceae"
"630";"Planctomyces";17;"Planctomycetaceae";"Miners::Bacterie"
"631";"Planctomyces sp.";17;"Planctomycetaceae";"Miners::Bacterie"
"632";"Platyophrya";20;"Platyophryidae";"Pred1attach::Protist"
"633";"Platyophrya bromelicola";20;"Platyophryidae";"Pred1attach::Protist"
"634";"Platyophrya vorax";20;"Platyophryidae";"Pred1attach::Protist"
"635";"Platyreta germanica";30;"Leptophryidae";"Pred2attach::Protist"
"636";"Plectus";16;"Plectidae";"Bacterivorous::Nematode"
"637";"Plectus aquatilis";16;"Plectidae";"Bacterivorous::Nematode"
"638";"Pleurochloris meiringensis";23;"Pleurochloridaceae";"Phototroph::Algae"
"639";"Pluteus petasatus";7;"Pluteaceae";"Saprotroph::Fungi"
"640";"Pluteus phlebophorus";7;"Pluteaceae";"Saprotroph::Fungi"
"641";"Podura aquatica";8;"Poduridae";"Saprofungivore::Collembole"
"642";"Polydesmus coriaceus";15;"Polydesmidae";"Saprophage::Diplopode"
"643";"Polygonum";2;"Polygonaceae";"Phototroph::Polygonaceae"
"644";"Polymyxa graminis";24;"Plasmodiophoridae";"Pathogen::Polymyxa"
"645";"Pontibacter";17;"Hymenobacteraceae";"Decomposers::Bacterie"
"646";"Pontibacter sp. LX8";17;"Hymenobacteraceae";"Decomposers::Bacterie"
"647";"Porphyrobacter";17;"Erythrobacteraceae";"Decomposers::Bacterie"
"648";"Porpoloma sp. 2 MSG-2014";7;"Tricholomataceae";"Saprotroph::Fungi"
"649";"Poterioochromonas";21;"Ochromonadaceae";"Phytophage::Algae"
"650";"Poterioochromonas malhamensis";21;"Ochromonadaceae";"Phytophage::Algae"
"651";"Poterioochromonas stipitata";21;"Ochromonadaceae";"Phytophage::Algae"
"652";"Pratylenchoides ritteri";3;"Merliniidae";"Parasitic_p::Nematode"
"653";"Pratylenchus";3;"Pratylenchidae";"Parasitic_p::Nematode"
"654";"Preussia";7;"Sporormiaceae";"Saprotroph::Fungi"
"655";"Prismatolaimus";16;"Prismatolaimidae";"Bacterivorous::Nematode"
"656";"Prismatolaimus cf. dolichurus JH-2004";16;"Prismatolaimidae";"Bacterivorous::Nematode"
"657";"Proceropycnis pinicola";7;"Hoehnelomycetaceae";"Saprotroph::Fungi"
"658";"Prodesmodora circulata";16;"Microlaimidae";"Bacterivorous::Nematode"
"659";"Prodorylaimus sp. HHBM-2007a";10;"Qudsianematidae";"Non.selective::Nematode"
"660";"Prorodon";18;"Prorodontidae";"Pred1free::Protist"
"661";"Protaphorura armata";8;"Onychiuridae";"Saprofungivore::Collembole"
"662";"Protaspis";18;"Thaumatomastigidae";"Pred1free::Protist"
"663";"Protaspis obliqua";18;"Thaumatomastigidae";"Pred1free::Protist"
"664";"Protocyclidium sinica";18;"Cyclidiidae";"Pred1free::Protist"
"665";"Protomyces";24;"Protomycetaceae";"Parasitic::Protomyces"
"666";"Protoribates hakonensis";15;"Protoribatidae";"Saprophage::Oribate"
"667";"Prototheca";23;"Chlorellaceae";"Phototroph::Algae"
"668";"Psathyrella sp. D16";7;"Psathyrellaceae";"Lignotroph::Fungi"
"669";"Pseudaphelenchus";6;"Aphelenchoididae";"Fungivorous::Nematode"
"670";"Pseudo-nitzschia heimii";23;"Bacillariaceae";"Phototroph::Algae"
"671";"Pseudochilodonopsis sp. 3 WS-2013";11;"Chilodonellidae";"Algivorous::Protist"
"672";"Pseudocyrtolophosis alpestris";20;"Cyrtolophosididae";"Pred1attach::Protist"
"673";"Pseudomonas";17;"Pseudomonadaceae";"Opportunists::Bacterie"
"674";"Pseudonocardia";17;"Pseudonocardiaceae";"Decomposers::Bacterie"
"675";"Pseudoplatynematum denticulatum";18;"Cinetochilidae";"Pred1free::Protist"
"676";"Pseudoplatyophrya nana";11;"Grossglockneriidae";"Fungivorous::Protist"
"677";"Pseudopleurochloris antarctica";23;"Pleurochloridaceae";"Phototroph::Algae"
"678";"Pseudouroleptus sp. ALT-2014";30;"Spirofilidae";"Pred2attach::Protist"
"679";"Pseudovorticella punctata";18;"Vorticellidae";"Pred1free::Protist"
"680";"Pseudovorticella sp. 5 PS-2016";18;"Vorticellidae";"Pred1free::Protist"
"681";"Psora";7;"Psoraceae";"Saprotroph::Fungi"
