verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
Rhodospirillales;Rhodospirillales;1223;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;;;
Altererythrobacter buctense;Altererythrobacter buctensis Zhang & al., 2016;9330269;FUZZY;92;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;Altererythrobacter buctensis
Altererythrobacter;Altererythrobacter Kwon & al., 2007;4901674;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;
Erythrobacter;Erythrobacter Shiba & Simidu, 1982;3221318;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;
Porphyrobacter;Porphyrobacter Fuerst & al., 1993;3221347;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Porphyrobacter;
Erythrobacteraceae;Erythrobacteraceae;4901672;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;;
Novosphingobium;Novosphingobium;7512659;EXACT;92;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;
Sphingobium olei;Sphingobium olei Young & al., 2007;5912003;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium olei
Sphingobium;Sphingobium;3221329;EXACT;92;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;
Sphingomonas changbaiensis;Sphingomonas changbaiensis Zhang & al., 2010;7765764;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas changbaiensis
Sphingomonas fennica;Sphingomonas fennica Wittich & al., 2007;8360645;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas fennica
Sphingomonas;Sphingomonas Yabuuchi & al., 1990;3221354;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
Sphingosinicella;Sphingosinicella Maruyama & al., 2006;3221314;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingosinicella;
Sphingomonadaceae;Sphingomonadaceae;8926;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
Sphingomonadales;Sphingomonadales;647;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;;;
Rhizomicrobium;Rhizomicrobium Ueki & al., 2010;8317892;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;;;Rhizomicrobium;
Alphaproteobacteria;Alphaproteobacteria;197;EXACT;94;ACCEPTED;CLASS;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
Derxia;Derxia Jensen & al., 1960;3219826;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Derxia;
Alcaligenaceae;Alcaligenaceae;5437;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;;
Burkholderia cepacia;Burkholderia cepacia (Palleroni & Holmes, 1981) Yabuuchi & al., 1993;3219940;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia
Burkholderia;Burkholderia Yabuuchi & al., 1993;3219916;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
Cupriavidus;Cupriavidus Makkar & Casida, 1987;3220005;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
Paucimonas lemoignei;Paucimonas lemoignei (Delafield & al., 1965) Jendrossek, 2001;3219909;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paucimonas;Paucimonas lemoignei
Paucimonas;Paucimonas Jendrossek, 2001;3219908;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paucimonas;
Ralstonia solanacearum;Ralstonia solanacearum (Smith, 1896) Yabuuchi & al., 1996;3219898;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia solanacearum
Ralstonia;Ralstonia Yabuuchi & al., 1996;3219897;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;
Burkholderiaceae;Burkholderiaceae;5438;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;;
Acidovorax;Acidovorax Willems & al., 1990;3220140;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;
Caenimonas;Caenimonas Ryu & al., 2008;4891451;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caenimonas;
Comamonas;Comamonas, 1985;3220118;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;
Curvibacter;Curvibacter Ding & Yokota, 2004;3220112;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;
Delftia;Delftia Wen & al., 1999;3220129;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;
Diaphorobacter;Diaphorobacter Khan & Hiraishi, 2003;3220176;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;
Hydrogenophaga;Hydrogenophaga Willems & al., 1989;3220160;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;
Pelomonas;Pelomonas Xie & Yokota, 2005;3220051;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;
Polaromonas;Polaromonas Irgens & al., 1996;3220095;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;
Rhodoferax;Rhodoferax Hiraishi & al., 1992;3220072;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;
Variovorax;Variovorax Willems & al., 1991;3220178;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;
Comamonadaceae;Comamonadaceae;5439;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;;
Duganella;Duganella Hiraishi & al., 1997;3219861;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;
Herbaspirillum;Herbaspirillum Baldani & al., 1986;3219864;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;
Herminiimonas;Herminiimonas Fernandes & al., 2005;3219877;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas;
Janthinobacterium;Janthinobacterium De Ley & al., 1978;3219885;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;
Massilia;Massilia La Scola & al., 2000;3219853;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
Undibacterium;Undibacterium Kämpfer & al., 2007;4895670;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium;
Oxalobacteraceae;Oxalobacteraceae;8927;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
Burkholderiales;Burkholderiales;648;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;
Thiobacillus;Thiobacillus Beijerinck, 1904;8408880;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;
Hydrogenophilaceae;Hydrogenophilaceae;8928;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;;
Hydrogenophilales;Hydrogenophilales;1379;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;;;
Methylobacillus;Methylobacillus Yordy & Weaver, 1977;3220334;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylobacillus;
Methylophilus;Methylophilus Jenkins & al., 1987;3220331;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus;
Methylophilaceae;Methylophilaceae;8929;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;;
Methylophilales;Methylophilales;649;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;;;
Nitrosospira;Nitrosospira Winogradsky & Winogradsky, 1933;3220358;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
Nitrosomonadaceae;Nitrosomonadaceae;5441;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;;
Nitrosomonadales;Nitrosomonadales;1381;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;;;
Dechloromonas;Dechloromonas Achenbach & al., 2001;3220302;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas;
Denitratisoma;Denitratisoma Fahrbach & al., 2006;3220316;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Denitratisoma;
Ferribacterium;Ferribacterium Cummings & al., 2000;3220318;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Ferribacterium;
Georgfuchsia toluolica;Georgfuchsia toluolica Weelink & al., 2011;8002263;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Georgfuchsia;Georgfuchsia toluolica
Georgfuchsia;Georgfuchsia Weelink & al., 2011;7501881;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Georgfuchsia;
Propionivibrio;Propionivibrio Tanaka & al., 1991;3220297;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
Sterolibacterium;Sterolibacterium Tarlera & Denner, 2003;3220311;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sterolibacterium;
Rhodocyclaceae;Rhodocyclaceae;8931;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;;
Rhodocyclales;Rhodocyclales;651;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;;;
Betaproteobacteria;Betaproteobacteria;337;EXACT;94;ACCEPTED;CLASS;Bacteria;Proteobacteria;Betaproteobacteria;;;;
Bacteriovorax;Bacteriovorax Baer & al., 2000;3220694;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Bacteriovorax;
Bacteriovoracaceae;Bacteriovoracaceae;8933;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;;
Bdellovibrio exovorus;Bdellovibrio exovorus Koval & al., 2013;8292626;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;Bdellovibrio exovorus
Bdellovibrio;Bdellovibrio Stolp & Starr, 1963;3220688;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;
Bdellovibrionaceae;Bdellovibrionaceae;8932;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;;
Bdellovibrionales;Bdellovibrionales;652;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;;;
Desulfotalea;Desulfotalea Knoblauch & al., 1999;3220678;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfotalea;
Desulfobulbaceae;Desulfobulbaceae;8936;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;;
Desulfobacterales;Desulfobacterales;1382;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;;;
Desulfovibrio;Desulfovibrio Kluyver & van Niel, 1936;3220375;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;
Desulfovibrionaceae;Desulfovibrionaceae;8939;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;;
Desulfovibrionales;Desulfovibrionales;654;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;;;
Desulfuromonas;Desulfuromonas Pfennig & Biebl, 1977;3220490;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;
Malonomonas;Malonomonas Dehning & Schink, 1990;3220502;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Malonomonas;
Pelobacter;Pelobacter Schink & Pfennig, 1983;3220504;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;
Desulfuromonadaceae;Desulfuromonadaceae;8941;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;;
Geoalkalibacter;Geoalkalibacter Zavarzina & al., 2007;4888232;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geoalkalibacter;
Geobacter anodireducens;Geobacter anodireducens Sun & al., 2014;7566235;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;Geobacter anodireducens
Geobacter;Geobacter Lovley & al., 1995;3220513;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;
Geothermobacter;Geothermobacter Kashefi & al., 2005;3220511;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geothermobacter;
Geobacteraceae;Geobacteraceae;4874;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;;
Desulfuromonadales;Desulfuromonadales;1383;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;;;
Anaeromyxobacter;Anaeromyxobacter Sanford & al., 2002;3220545;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Anaeromyxobacter;
Cystobacter;Cystobacter Schroeter, 1886;3220549;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Cystobacter;
Haliangium;Haliangium Fudou & al., 2002;3220527;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;
Kofleria;Kofleria Reichenbach, 2007;3220542;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae;Kofleria;
Kofleriaceae;Kofleriaceae;8943;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae;;
Myxococcaceae;Myxococcaceae;8944;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;;
Phaselicystis;Phaselicystis Garcia & al., 2009;8354269;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Phaselicystidaceae;Phaselicystis;
Phaselicystidaceae;Phaselicystidaceae;7665074;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Phaselicystidaceae;;
Byssovorax;Byssovorax Reichenbach & al., 2006;4892105;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Byssovorax;
Sorangium cellulosum;Sorangium cellulosum (Brockmann, 1989) Reichenbach, 2007;3220586;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Sorangium;Sorangium cellulosum
Sorangium;Sorangium;3220585;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Sorangium;
Polyangiaceae;Polyangiaceae;4876;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;;
Myxococcales;Myxococcales;1384;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;;;
Syntrophaceae;Syntrophaceae;4877;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;;
Desulfovirga;Desulfovirga Tanaka & al., 2000;3220389;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfovirga;
Syntrophobacter;Syntrophobacter Boone & Bryant, 1984;3220384;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;
Syntrophobacteraceae;Syntrophobacteraceae;8946;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;;
Syntrophobacterales;Syntrophobacterales;656;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;;;
Deltaproteobacteria;Deltaproteobacteria;338;EXACT;94;ACCEPTED;CLASS;Bacteria;Proteobacteria;Deltaproteobacteria;;;;
Haliea;Haliea Urios & al., 2008;4901805;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Haliea;
Saccharophagus;Saccharophagus Ekborg & al., 2005;3222768;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Saccharophagus;
Nitrosococcus;Nitrosococcus Winogradsky, 1892;3222546;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;
Chromatiaceae;Chromatiaceae;4897;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;;
Thiohalospira;Thiohalospira Sorokin & al., 2008;7940377;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiohalospira;
Thiorhodospira;Thiorhodospira Bryantseva & al., 1999;3222596;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiorhodospira;
Ectothiorhodospiraceae;Ectothiorhodospiraceae;4898;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;;
Chromatiales;Chromatiales;667;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;;;
Enterobacteriaceae;Enterobacteriaceae;4899;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;;
Enterobacterales;Enterobacteriales;1395;FUZZY;84;ACCEPTED;ORDER;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;;;
Rickettsiella;Rickettsiella Philip, 1956;3223030;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Rickettsiella;
Coxiellaceae;Coxiellaceae;5154;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;;
Legionella lytica;Legionella lytica (Drozanski, 1991) Hookey & al., 1996;3223071;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella lytica
Legionella;Legionella Brenner & al., 1979;3223036;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;
Legionellaceae;Legionellaceae;5155;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;;
Legionellales;Legionellales;707;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;;;
Kangiella;Kangiella Yoon & al., 2004;3222057;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Kangiella;
Oceanospirillales;Oceanospirillales;1473;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;;;
Pasteurellaceae;Pasteurellaceae;9536;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;;
Pasteurellales;Pasteurellales;1472;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;;;
Acinetobacter;Acinetobacter Brisou & Prévot, 1954;3223263;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;
Moraxella osloensis;Moraxella osloensis Bøvre & Henriksen, 1967;4902158;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;Moraxella osloensis
Moraxella;Moraxella Lwoff, 1939;3219792;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;
Perlucidibaca;Perlucidibaca Song & al., 2008;4891819;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Perlucidibaca;
Moraxellaceae;Moraxellaceae;9537;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;;
Cellvibrio;Cellvibrio Winogradsky, 1929;3223108;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Cellvibrio;
Pseudomonas;Pseudomonas Migula, 1894;3219881;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
Pseudomonadaceae;Pseudomonadaceae;5607;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;;
Pseudomonadales;Pseudomonadales;1474;EXACT;96;ACCEPTED;ORDER;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;
Hydrocarboniphaga;Hydrocarboniphaga Palleroni & al., 2004;3222362;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Nevskiaceae;Hydrocarboniphaga;
Steroidobacter;Steroidobacter Fahrbach & al., 2008;8392425;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Steroidobacter;
Sinobacteraceae;Sinobacteraceae;4893916;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;;
Arenimonas daechungensis;Arenimonas daechungensis Huy & al., 2013;7400549;EXACT;98;ACCEPTED;SPECIES;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;Arenimonas daechungensis
Arenimonas;Arenimonas Kwon & al., 2007;4889775;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;
