scientificName;id
Paspalum vaginatum;8100050
Pelargonium ;9348640
Pennisetum clandestinum;2706150
Petroselinum;3034906
Phalaris arundinacea;5289756
Pharbitis hederacea;2928623
Phaseolus ;2947798
Phaseolus lunatus;5350438
Phaseolus vulgaris;5350452
Phleum;2706001
Phoenix dactylifera;6109699
Picea excelsa;7606064
Picea mariana;5284802
Pinus halepensis;5285604
Pinus kesiya;5285824
Pisum;2940361
Pisum sativum;5347845
Plantaginaceae;2420
Plantago;3189695
Poa;2704173
Poa annua;2704179
Poa pratensis;2704178
Poa trivialis;8300875
Poaceae;3073
Polytrichum juniperinum;2683092
Primulaceae;6674
Prunus;3020559
Prunus avium;3020791
Prunus cerasus;3021922
Prunus domestica;7931731
Prunus dulcis;3022502
Prunus persica;8149923
Prunus salicina;3021120
Pseudophoenix sargentii;2737019
Pseudotsuga menziesii;2685796
Pueraria montana;2977636
Pyrus communis;5362573
Ranunculacae;2410
Ranunculaceae;2410
Rhododendron ;2883026
Ribes nigrum;2986192
Ribes rubrum;2986097
Ricinus communis;5380041
Rosa;8395064
Rosa ;8395064
Rosa chinensis;3005039
Rosa multiflora;3003244
Rosaceae;5015
Rotifera;91
Rubus idaeus;2993094
Rubus loganobaccus;2990630
Rumex;2888942
Rumex crispus;8195144
Salicaceae;6664
Salvia nemorosa;2927028
Salvia splendens;8249932
Sarcomonadea;9697778
Scrophularia leucoclada;3737217
Scrophularia nodosa;3170886
Scutellaria peregrina;5608571
Secale cereale;2705966
Sechium edule;2874612
Sesamum indicum;3172622
Setaria italica;5289698
Setaria pumila;5289693
Sium erectum;3640348
Resource:SOM;R3
Solanaceae;7717
Solanum lycopersicum;2930137
Solanum melongena;2930617
Solanum tuberosum;2930262
Sonchus oleraceus;8228544
Sorghum arundinaceum;4108497
Sorghum bicolor;2705181
Sorghum verticilliflorum;4105531
Sphenoderiidae;7
Stachys arvensis;2927229
Stachys palustris;2927245
Stachytarpheta dichotoma;2925448
Stachytarpheta jamaicensis;2925463
Staphylinidae;7854
Stellaria;3085667
Streptophytina;NA
Synechococcus;3216715
Tagetes erecta;3088488
Taraxacum;8322495
Taraxacum officinale;5394163
Terminalia catappa;3189394
Thuja;2684168
Tilia cordata;3152047
Torilis neglecta;3632589
Trifolium;2973363
Trifolium aestivum;2973363
Trifolium incarnatum;5359378
Trifolium pratense;8324121
Trifolium repens;5358748
Trifolium subterraneum;5359330
Trifolium vesiculosum;5359334
Triticum;2706388
Triticum aestivum;7795888
Triticum spelta;2706402
Trombidiformes;543
Urtica;2984391
Urtica dioica;7960979
Verbena;2925470
Veronica;3172047
Vetiveria zizanioides;2705233
Vicia;2974751
Vicia faba;2974832
Vicia sativa;2975014
Vigna angularis;2982508
Vigna radiata;2982380
Vigna unguiculata;2982583
Viola odorata;5331181
Violaceae;6631
Vitis vinifera;5372392
Withania somnifera;2928840
Zantedeschia aethiopica;2868827
Zea mays;5290052
Archaea;4
Chromista;4
Protozoa;7
