verbatimScientificName;scientificName;retainedScientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
Dorylaimina;Dorylaimida;Dorylaimida;446;EDITED;69;ACCEPTED;ORDER;Animalia;Nematoda;Adenophorea;Dorylaimida;;;
Dorylaimoidea;Dorylaimidae;Dorylaimidae;2592;EDITED;53;ACCEPTED;FAMILY;Animalia;Nematoda;Adenophorea;Dorylaimida;Dorylaimidae;;
Pungentinae;Pungentidae;Nordiidae;7018664;EDITED;77;SYNONYM;FAMILY;Animalia;Nematoda;Adenophorea;Dorylaimida;Nordiidae;;
Dorylaimia;Dorylaimida;Dorylaimia;446;EDITED;79;ACCEPTED;ORDER;Animalia;Nematoda;Adenophorea;Dorylaimida;;;
uncultured Saccharophagus sp.;Saccharophagus Ekborg & al., 2005;Saccharophagus;3222768;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Saccharophagus;
uncultured Haliea sp.;Haliea Urios & al., 2008;Haliea;4901805;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Haliea;
uncultured Nitrosococcus sp.;Nitrosococcus Winogradsky, 1892;Nitrosococcus;3222546;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;
uncultured Thiohalospira sp.;Thiohalospira Sorokin & al., 2008;Thiohalospira;7940377;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiohalospira;
uncultured Thiorhodospira sp.;Thiorhodospira Bryantseva & al., 1999;Thiorhodospira;3222596;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiorhodospira;
uncultured Legionella sp.;Legionella Brenner & al., 1979;Legionella;3223036;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;
uncultured Steroidobacter sp.;Steroidobacter Fahrbach & al., 2008;Steroidobacter;8392425;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Steroidobacter;
uncultured Pseudomonas sp.;Pseudomonas Migula, 1894;Pseudomonas;3219881;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
uncultured Dokdonella sp.;Dokdonella Yoon & al., 2006;Dokdonella;3222287;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dokdonella;
uncultured Dyella sp.;Dyella Xie & Yokota, 2005;Dyella;3222364;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dyella;
uncultured Arenimonas sp.;Arenimonas Kwon & al., 2007;Arenimonas;4889775;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;
uncultured Lysobacter sp.;Lysobacter Christensen & Cook, 1978;Lysobacter;3222300;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;
uncultured Thermomonas sp.;Thermomonas Busse & al., 2002;Thermomonas;3222292;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas;
uncultured Xanthomonas sp.;Xanthomonas Dowson, 1939;Xanthomonas;3220012;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;
Thripinae;Thripidae;Thripidae;4387;EDITED;78;ACCEPTED;FAMILY;Animalia;Arthropoda;Insecta;Thysanoptera;Thripidae;;
Hoplolaiminae;Hoplolaimidae;Hoplolaimidae;6465;EDITED;78;ACCEPTED;FAMILY;Animalia;Nematoda;Secernentea;Tylenchida;Hoplolaimidae;;
Bacillariophycidae;Bacillariophyceae;Bacillariophycidae;7947184;EDITED;39;ACCEPTED;CLASS;Chromista;Ochrophyta;Bacillariophycidae;;;;
unclassified Spumella;Spumella Cienkowsky, 1870;Spumella;3194566;EDITED;;ACCEPTED;GENUS;Chromista;Ochrophyta;Chrysophyceae;Ochromonadales;Chromulinaceae;Spumella;
Apioideae;;Apiaceae;6720;EDITED;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;;
Scandicinae;;Apiaceae;6720;EDITED;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;;
Asteroideae;Asteraceae;Asteraceae;3065;EDITED;;ACCEPTED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;;
Alsineae;;Caryophyllaceae ;2518;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Eudicots;Caryophyllaceae ;;
Papilionoideae;Papilionidae;Fabaceae;9417;EDITED;55;ACCEPTED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;
fabids;;Fabidae;4303377;NONE;100;EDITED;FAMILY;Animalia;Arthropoda;Malacostraca;Isopoda;Fabidae;;
Dicranidae;;Bryopsida;327;NONE;100;EDITED;FAMILY;Plantae;Bryophyta;Bryopsida;;;;
Funariidae;Furnariidae;Furnariidae;5243;EDITED;4;ACCEPTED;FAMILY;Animalia;Chordata;Aves;Passeriformes;Furnariidae;;
Petrosaviidae;Petrosiidae;Petrosiidae;3913;EDITED;64;ACCEPTED;FAMILY;Animalia;Porifera;Demospongiae;Haplosclerida;Petrosiidae;;
Marsdenieae;Marsdenia R.Br.;Marsdenia;3170190;EDITED;55;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Apocynaceae;Marsdenia;
Plantagineae;Plantaginaceae;Plantaginaceae;2420;EDITED;55;ACCEPTED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;;
campanulids;;Campanulaceae;8801;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Asterales;Campanulaceae;;
Embryophyta;;Bryophyta;35;NONE;100;EDITED;PHYLLUM;Plantae;Bryophyta;;;;;
eudicotyledons;;Magnoliopsida;220;NONE;100;EDITED;CLASS;Plantae;Tracheophyta;Magnoliopsida;;;;
Euphyllophyta;;Euphyllophyta;7707728;NONE;100;EDITED;PHYLLUM;Plantae;Euphyllophyta;;;;;
lamiids;;Lamiales;408;NONE;100;EDITED;ORDER;Plantae;Tracheophyta;Magnoliopsida;Lamiales;;;
rosids;;Rosales;691;NONE;100;EDITED;ORDER;Plantae;Tracheophyta;Magnoliopsida;Rosales;;;
Pinidae;;Equisetopsida;246;NONE;100;EDITED;CLASS;Plantae;Tracheophyta;Equisetopsida;;;;
Hordeinae;;Poaceae;3073;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;;
PACMAD clade;;Poaceae;3073;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;;
Poeae;;Poaceae;3073;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;;
Poeae Chloroplast Group 1 (Aveneae type);;Poaceae;3073;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;;
Poeae Chloroplast Group 2 (Poeae type);;Poaceae;3073;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;;
Pooideae;;Poaceae;3073;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;;
Polygoneae;;Polygonaceae;2416;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Polygonaceae;;
Polygonoideae;;Polygonaceae;2416;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Polygonaceae;;
Papaveroideae;;Papaveraceae;2422;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Papaveraceae;;
Saliceae;;Salicaceae;6664;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;;
Solanoideae;;Solanaceae;7717;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Solanales;Solanaceae;;
Aphidinae;;Aphididae;3042;NONE;100;EDITED;FAMILY;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;;
Macrosiphini;;Aphididae;3042;NONE;100;EDITED;FAMILY;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;;
Tylenchinae;;Tylenchidae;6463;NONE;100;EDITED;FAMILY;Animalia;Nematoda;Secernentea;Tylenchida;Tylenchidae;;
Sphenoderiidae;;Sphenoderiidae;9797892;NONE;100;EDITED;FAMILY;Chromista;Cercozoa;Imbricatea;Euglyphida;Sphenoderiidae;;
Tetrahymenina;;Tetrahymenidae;7602988;NONE;100;EDITED;FAMILY;Chromista;Ciliophora;Oligohymenophorea;Hymenostomatida;Tetrahymenidae;;
Stichotrichia;;Stichotrichida;8050047;NONE;100;EDITED;ORDER;Chromista;Ciliophora;Hypotrichea;Stichotrichida;;;
Gonostomum sp. JS-2012;Gonostomum;Gonostomum;8289527;EXACT;94;ACCEPTED;GENUS;Chromista;Ciliophora;Hypotrichea;Oxytrichida;Oxytrichidae;Gonostomum;
Trichostomatia;Trichostomatida;Trichostomatida;8116740;EDITED;79;ACCEPTED;ORDER;Chromista;Ciliophora;Kinetofragminophora;Trichostomatida;;;
Gamasina;;Gamasidae;3252752;NONE;100;EDITED;FAMILY;Animalia;Arthropoda;Arachnida;Mesostigmata;Gamasidae;;
Nygolaiminae;Nygolaimidae;Nygolaimidae;2588;EDITED;78;ACCEPTED;FAMILY;Animalia;Nematoda;Adenophorea;Dorylaimida;Nygolaimidae;;
Pleurostigmophora;Pleurostomophora Vijaykr., L.Mostert, Jeewon, W.Gams, K.D.Hyde & Crous;Pleurostomophora;2565621;EDITED;53;DOUBTFUL;GENUS;Fungi;Ascomycota;Sordariomycetes;Calosphaeriales;Pleurostomataceae;Pleurostomophora;
Entomobryoidea;Entomobryidae;Entomobryidae;7216;EDITED;53;ACCEPTED;FAMILY;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;;
Poduroidea;Poduroides Mann, 1926;Poduroides;4716061;EDITED;70;ACCEPTED;GENUS;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Poduroides;
Entomobryoidea;Entomobryoides Maynard, 1951;Entomobryoides;9126515;EDITED;70;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Entomobryoides;
Poduroidea;Poduroides Mann, 1926;Poduroides;4716061;EDITED;70;ACCEPTED;GENUS;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Poduroides;
Lumbricinae;Lumbricidae;Lumbricidae;6103;EDITED;76;ACCEPTED;FAMILY;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;;
Tipulinae;Tipulidae;Tipulidae;7634;EDITED;76;ACCEPTED;FAMILY;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;;
Ceratozetoidea;Ceratozetidae;Ceratozetidae;7412;EDITED;53;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Ceratozetidae;;
Tuber sp. CBS 272 72;Tuber P.Micheli ex F.H.Wigg.;Tuber;8282501;EDITED;63;ACCEPTED;GENUS;Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber;
uncultured Elusimicrobium sp.;Elusimicrobium Geissinger & al., 2010;Elusimicrobium;6533858;EXACT;94;ACCEPTED;GENUS;Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium;
uncultured Fibrobacter sp.;Fibrobacter Montgomery & al., 1988;Fibrobacter;3228262;EXACT;94;ACCEPTED;GENUS;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;
uncultured Fusobacterium sp.;Fusobacterium Knorr, 1922;Fusobacterium;3225870;EXACT;94;ACCEPTED;GENUS;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;
uncultured Ignavibacterium sp.;Ignavibacterium Iino & al., 2010;Ignavibacterium;7578709;EXACT;94;ACCEPTED;GENUS;Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium;
uncultured Nitrospira sp.;Nitrospira Watson & al., 1986;Nitrospira;3219774;EDITED;99;ACCEPTED;GENUS;Bacteria;Nitrospira;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;
uncultured Turneriella sp.;Turneriella Levett & al., 2005;Turneriella;3228217;EXACT;94;ACCEPTED;GENUS;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Leptospiraceae;Turneriella;
