"occurrenceId";"verbatimScientificName";"scientificName";"key";"matchType";"confidence";"status";"rank";"kingdom";"phylum";"class";"order";"family";"genus";"species"
NA;"Bacteroides";"Bacteroides Castellani & Chalmers, 1919";3222857;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";""
NA;"Bacteroidaceae";"Bacteroidaceae";8095;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"";""
NA;"Bacteroidales";"Bacteroidales";1203;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"";"";""
NA;"Bacteroidia";"Bacteroidia";7498440;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Bacteroidetes";"Bacteroidia";"";"";"";""
NA;"Adhaeribacter";"Adhaeribacter Rickard & al., 2005";3228858;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Adhaeribacter";""
NA;"Cytophaga hutchinsonii";"Cytophaga hutchinsonii Winogradsky, 1929";3228931;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Cytophaga";"Cytophaga hutchinsonii"
NA;"Cytophaga";"Cytophaga Winogradsky, 1929";3228397;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Cytophaga";""
NA;"Dyadobacter";"Dyadobacter Chelius & Triplett, 2000";3228894;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Dyadobacter";""
NA;"Emticicia";"Emticicia Saha & Chakrabarti, 2006";3228870;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Emticicia";""
NA;"Fibrella";"Fibrella Filippini & al., 2011";5917830;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Fibrella";""
NA;"Flexibacter";"Flexibacter Soriano, 1945";3228773;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Flexibacter";""
NA;"Pontibacter";"Pontibacter Nedashkovskaya & al., 2005";3228350;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Pontibacter";""
NA;"Cytophagaceae";"Cytophagaceae";3237749;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"";""
NA;"Rhodothermus";"Rhodothermus Alfredsson & al., 1995";3228843;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Rhodothermaceae";"Rhodothermus";""
NA;"Rhodothermaceae";"Rhodothermaceae";4894640;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Rhodothermaceae";"";""
NA;"Cytophagales";"Cytophagales";7571564;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"";"";""
NA;"Cytophagia";"Cytophagia";7929839;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Bacteroidetes";"Cytophagia";"";"";"";""
NA;"Crocinitomix";"Crocinitomix Bowman & al., 2003";3228479;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Cryomorphaceae";"Crocinitomix";""
NA;"Fluviicola";"Fluviicola O'Sullivan & al., 2005";3228481;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Cryomorphaceae";"Fluviicola";""
NA;"Lishizhenia";"Lishizhenia Lau & al., 2006";4888700;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Cryomorphaceae";"Lishizhenia";""
NA;"Chryseobacterium";"Chryseobacterium Vandamme & al., 1994";3228687;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"Chryseobacterium";""
NA;"Flavobacterium hydatis";"Flavobacterium hydatis Bernardet & al., 1996";3228598;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium";"Flavobacterium hydatis"
NA;"Flavobacterium";"Flavobacterium Bergey & al., 1923";3221328;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium";""
NA;"Flavobacteriaceae";"Flavobacteriaceae";8099;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"";""
NA;"Flavobacteriales";"Flavobacteriales";569;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"";"";""
NA;"Flavobacteriia";"Flavobacteriia";8019474;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Bacteroidetes";"Flavobacteriia";"";"";"";""
NA;"Chitinophaga oryziterrae";"Chitinophaga oryziterrae Chung & al., 2012";8005235;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Chitinophaga";"Chitinophaga oryziterrae"
NA;"Chitinophaga pinensis";"Chitinophaga pinensis Sangkhobol & Skerman, 1981";3228831;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Chitinophaga";"Chitinophaga pinensis"
NA;"Chitinophaga";"Chitinophaga Sangkhobol & Skerman, 1981";3228826;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Chitinophaga";""
NA;"Ferruginibacter paludis";"Ferruginibacter paludis Kang & al., 2015";8867112;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Ferruginibacter";"Ferruginibacter paludis"
NA;"Ferruginibacter";"Ferruginibacter Lim & al., 2009";7592743;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Ferruginibacter";""
NA;"Flavisolibacter rigui";"Flavisolibacter rigui Baik & al., 2014";7703764;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Flavisolibacter";"Flavisolibacter rigui"
NA;"Flavisolibacter";"Flavisolibacter Yoon & Im, 2007";4893097;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Flavisolibacter";""
NA;"Lacibacter";"Lacibacter Qu & al., 2009";7606454;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Lacibacter";""
NA;"Niastella";"Niastella Weon & al., 2006";3228891;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Niastella";""
NA;"Sediminibacterium aquarii";"Sediminibacterium aquarii Kim & al., 2016";9405333;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Sediminibacterium";"Sediminibacterium aquarii"
NA;"Sediminibacterium";"Sediminibacterium Qu & Yuan, 2008";8353847;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Sediminibacterium";""
NA;"Segetibacter";"Segetibacter An & al., 2007";4888636;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Segetibacter";""
NA;"Terrimonas arctica";"Terrimonas arctica Jiang & al., 2014";7917666;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Terrimonas";"Terrimonas arctica"
NA;"Terrimonas";"Terrimonas Xie & Yokota, 2006";3228837;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"Terrimonas";""
NA;"Chitinophagaceae";"Chitinophagaceae";4903787;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Chitinophagaceae";"";""
NA;"Haliscomenobacter";"Haliscomenobacter van Veen & al., 1973";3228793;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Saprospiraceae";"Haliscomenobacter";""
NA;"Saprospiraceae";"Saprospiraceae";8101;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Saprospiraceae";"";""
NA;"Mucilaginibacter";"Mucilaginibacter Pankratov & al., 2007";4886632;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Sphingobacteriaceae";"Mucilaginibacter";""
NA;"Pedobacter luteus";"Pedobacter luteus Oh & al., 2013";8255496;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Sphingobacteriaceae";"Pedobacter";"Pedobacter luteus"
NA;"Pedobacter";"Pedobacter Steyn & al., 1998";3228812;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Sphingobacteriaceae";"Pedobacter";""
NA;"Solitalea";"Solitalea Weon & al., 2009";8132662;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Sphingobacteriaceae";"Solitalea";""
NA;"Sphingobacterium";"Sphingobacterium Yabuuchi & al., 1983";3228645;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Sphingobacteriaceae";"Sphingobacterium";""
NA;"Sphingobacteriaceae";"Sphingobacteriaceae";8103;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Sphingobacteriaceae";"";""
NA;"Sphingobacteriales";"Sphingobacteriales";1204;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"";"";""
NA;"Sphingobacteriia";"Sphingobacteriia";7803622;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"";"";"";""
NA;"Ohtaekwangia";"Ohtaekwangia Yoon & al., 2011";7951037;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Bacteroidetes";"";"";"";"Ohtaekwangia";""
NA;"Bacteroidetes";"Bacteroidetes";81;"EXACT";94;"ACCEPTED";"PHYLUM";"Bacteria";"Bacteroidetes";"";"";"";"";""
NA;"Ignavibacterium";"Ignavibacterium Iino & al., 2010";7578709;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Chlorobi";"Ignavibacteria";"Ignavibacteriales";"Ignavibacteriaceae";"Ignavibacterium";""
NA;"Ignavibacteriaceae";"Ignavibacteriaceae";7922346;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Chlorobi";"Ignavibacteria";"Ignavibacteriales";"Ignavibacteriaceae";"";""
NA;"Ignavibacteriales";"Ignavibacteriales";8087382;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Chlorobi";"Ignavibacteria";"Ignavibacteriales";"";"";""
NA;"Ignavibacteria";"Ignavibacteria";7421138;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Chlorobi";"Ignavibacteria";"";"";"";""
NA;"Bellilinea";"Bellilinea Yamada & al., 2007";4903400;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Chloroflexi";"Anaerolineae";"Anaerolineales";"Anaerolineaceae";"Bellilinea";""
NA;"Levilinea";"Levilinea Yamada & al., 2006";3229040;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Chloroflexi";"Anaerolineae";"Anaerolineales";"Anaerolineaceae";"Levilinea";""
NA;"Longilinea";"Longilinea Yamada & al., 2007";4886727;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Chloroflexi";"Anaerolineae";"Anaerolineales";"Anaerolineaceae";"Longilinea";""
NA;"Anaerolineaceae";"Anaerolineaceae";4903399;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Chloroflexi";"Anaerolineae";"Anaerolineales";"Anaerolineaceae";"";""
NA;"Anaerolineales";"Anaerolineales";8229939;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Chloroflexi";"Anaerolineae";"Anaerolineales";"";"";""
NA;"Caldilinea";"Caldilinea Sekiguchi & al., 2003";3229042;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Chloroflexi";"Caldilineae";"Caldilineales";"Caldilineaceae";"Caldilinea";""
NA;"Caldilineaceae";"Caldilineaceae";4698;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Chloroflexi";"Caldilineae";"Caldilineales";"Caldilineaceae";"";""
NA;"Caldilineales";"Caldilineales";1205;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Chloroflexi";"Caldilineae";"Caldilineales";"";"";""
NA;"Chloroflexus";"Chloroflexus Pierson & Castenholz, 1974";3229052;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Chloroflexi";"Chloroflexia";"Chloroflexales";"Chloroflexaceae";"Chloroflexus";""
NA;"Roseiflexus";"Roseiflexus Hanada & al., 2002";3229055;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Chloroflexi";"Chloroflexia";"Chloroflexales";"Chloroflexaceae";"Roseiflexus";""
NA;"Chloroflexaceae";"Chloroflexaceae";8107;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Chloroflexi";"Chloroflexia";"Chloroflexales";"Chloroflexaceae";"";""
NA;"Chloroflexales";"Chloroflexales";1206;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Chloroflexi";"Chloroflexia";"Chloroflexales";"";"";""
NA;"Chloroflexia";"Chloroflexia";8308597;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Chloroflexi";"Chloroflexia";"";"";"";""
NA;"Ktedonobacter";"Ktedonobacter Cavaletti & al., 2007";4900657;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";"Ktedonobacter";""
NA;"Ktedonobacteraceae";"Ktedonobacteraceae";4899883;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";"";""
NA;"Ktedonobacterales";"Ktedonobacterales";7761819;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacterales";"";"";""
NA;"Ktedonobacteria";"Ktedonobacteria";7781780;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Chloroflexi";"Ktedonobacteria";"";"";"";""
NA;"Sphaerobacter";"Sphaerobacter Demharter & al., 1989";3223442;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Chloroflexi";"Thermomicrobia";"Sphaerobacterales";"Sphaerobacteraceae";"Sphaerobacter";""
NA;"Sphaerobacteraceae";"Sphaerobacteraceae";3850;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Chloroflexi";"Thermomicrobia";"Sphaerobacterales";"Sphaerobacteraceae";"";""
NA;"Sphaerobacterales";"Sphaerobacterales";1202;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Chloroflexi";"Thermomicrobia";"Sphaerobacterales";"";"";""
NA;"Thermomicrobia";"Thermomicrobia";363;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Chloroflexi";"Thermomicrobia";"";"";"";""
NA;"Chloroflexi";"Chloroflexi";84;"EXACT";94;"ACCEPTED";"PHYLUM";"Bacteria";"Chloroflexi";"";"";"";"";""
NA;"Microcoleaceae";"Microcoleaceae";7941427;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Cyanobacteria";"Cyanophyceae";"";"Microcoleaceae";"";""
NA;"Cyanobacteria";"Cyanobacteria";68;"EXACT";94;"ACCEPTED";"PHYLUM";"Bacteria";"Cyanobacteria";"";"";"";"";""
NA;"Elusimicrobium";"Elusimicrobium Geissinger & al., 2010";6533858;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Elusimicrobia";"Elusimicrobia";"Elusimicrobiales";"Elusimicrobiaceae";"Elusimicrobium";""
NA;"Elusimicrobiaceae";"Elusimicrobiaceae";6533857;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Elusimicrobia";"Elusimicrobia";"Elusimicrobiales";"Elusimicrobiaceae";"";""
NA;"Elusimicrobiales";"Elusimicrobiales";7675718;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Elusimicrobia";"Elusimicrobia";"Elusimicrobiales";"";"";""
NA;"Fibrobacter";"Fibrobacter Montgomery & al., 1988";3228262;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Fibrobacteres";"Fibrobacteria";"Fibrobacterales";"Fibrobacteraceae";"Fibrobacter";""
NA;"Fibrobacteraceae";"Fibrobacteraceae";4703;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Fibrobacteres";"Fibrobacteria";"Fibrobacterales";"Fibrobacteraceae";"";""
NA;"Fibrobacterales";"Fibrobacterales";1210;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Fibrobacteres";"Fibrobacteria";"Fibrobacterales";"";"";""
NA;"Fibrobacteria";"Fibrobacteria";7877138;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Fibrobacteres";"Fibrobacteria";"";"";"";""
NA;"Fibrobacteres";"Fibrobacteres";29;"EXACT";94;"ACCEPTED";"PHYLUM";"Bacteria";"Fibrobacteres";"";"";"";"";""
NA;"Bacillaceae";"Bacillaceae";8113;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"";""
NA;"Paenibacillus";"Paenibacillus Ash & al., 1994";3227538;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Paenibacillaceae";"Paenibacillus";""
NA;"Saccharibacillus";"Saccharibacillus Rivas & al., 2008";7715336;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Paenibacillaceae";"Saccharibacillus";""
NA;"Paenibacillaceae";"Paenibacillaceae";4706;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Paenibacillaceae";"";""
NA;"Pasteuria";"Pasteuria Metchnikoff, 1888";3228067;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Pasteuriaceae";"Pasteuria";""
NA;"Pasteuriaceae";"Pasteuriaceae";4896880;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Pasteuriaceae";"";""
NA;"Planococcaceae";"Planococcaceae";4707;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Planococcaceae";"";""
NA;"Staphylococcus";"Staphylococcus Rosenbach, 1884";7945561;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";""
NA;"Staphylococcaceae";"Staphylococcaceae";4708;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"";""
NA;"Thermoflavimicrobium";"Thermoflavimicrobium Yoon & al., 2005";3227472;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Thermoactinomycetaceae";"Thermoflavimicrobium";""
NA;"Thermoactinomycetaceae";"Thermoactinomycetaceae";7792;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Thermoactinomycetaceae";"";""
NA;"Bacillales";"Bacillales";576;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"";"";""
NA;"Bacilli";"Bacilli";303;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Firmicutes";"Bacilli";"";"";"";""
NA;"Clostridium";"Clostridium Prazmowski, 1880";3226206;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae";"Clostridium";""
NA;"Clostridiaceae";"Clostridiaceae";7797;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae";"";""
NA;"Desulfitobacterium";"Desulfitobacterium Utkin & al., 1994";3226460;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptococcaceae";"Desulfitobacterium";""
NA;"Peptococcaceae";"Peptococcaceae";4715;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptococcaceae";"";""
NA;"Thermaerobacter";"Thermaerobacter Takai & al., 1999";3226216;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Syntrophomonadaceae";"Thermaerobacter";""
NA;"Clostridiales";"Clostridiales";1211;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"";"";""
NA;"Thermoanaerobacter";"Thermoanaerobacter Wiegel & Ljungdahl, 1982";3226904;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Firmicutes";"Clostridia";"Thermoanaerobacterales";"Thermoanaerobacteraceae";"Thermoanaerobacter";""
NA;"Thermoanaerobacteraceae";"Thermoanaerobacteraceae";7462937;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Firmicutes";"Clostridia";"Thermoanaerobacterales";"Thermoanaerobacteraceae";"";""
NA;"Thermoanaerobacterales";"Thermoanaerobacterales";7579411;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Firmicutes";"Clostridia";"Thermoanaerobacterales";"";"";""
NA;"Clostridia";"Clostridia";304;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Firmicutes";"Clostridia";"";"";"";""
NA;"Firmicutes";"Firmicutes";87;"EXACT";94;"ACCEPTED";"PHYLUM";"Bacteria";"Firmicutes";"";"";"";"";""
NA;"Fusobacterium";"Fusobacterium Knorr, 1922";3225870;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Fusobacteria";"Fusobacteriia";"Fusobacteriales";"Fusobacteriaceae";"Fusobacterium";""
NA;"Fusobacteriaceae";"Fusobacteriaceae";7806;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Fusobacteria";"Fusobacteriia";"Fusobacteriales";"Fusobacteriaceae";"";""
NA;"Fusobacteriales";"Fusobacteriales";1214;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Fusobacteria";"Fusobacteriia";"Fusobacteriales";"";"";""
NA;"Fusobacteriia";"Fusobacteriia";7921896;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Fusobacteria";"Fusobacteriia";"";"";"";""
NA;"Fusobacteria";"Fusobacteria";88;"EXACT";94;"ACCEPTED";"PHYLUM";"Bacteria";"Fusobacteria";"";"";"";"";""
NA;"Gemmatimonas";"Gemmatimonas Zhang & al., 2003";3228301;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Gemmatimonadetes";"Gemmatimonadetes";"Gemmatimonadales";"Gemmatimonadaceae";"Gemmatimonas";""
NA;"Gemmatimonadaceae";"Gemmatimonadaceae";4721;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Gemmatimonadetes";"Gemmatimonadetes";"Gemmatimonadales";"Gemmatimonadaceae";"";""
NA;"Gemmatimonadales";"Gemmatimonadales";1216;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Gemmatimonadetes";"Gemmatimonadetes";"Gemmatimonadales";"";"";""
NA;"Nitrospira marina";"Nitrospira marina Watson & al., 1986";5427444;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Nitrospira";"Nitrospira";"Nitrospirales";"Nitrospiraceae";"Nitrospira";"Nitrospira marina"
NA;"Nitrospiraceae";"Nitrospiraceae";4722;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Nitrospira";"Nitrospira";"Nitrospirales";"Nitrospiraceae";"";""
NA;"Nitrospirales";"Nitrospirales";830;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Nitrospira";"Nitrospira";"Nitrospirales";"";"";""
NA;"Phycisphaera mikurensis";"Phycisphaera mikurensis Fukunaga & al, 2010";7609484;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Planctomycetes";"Phycisphaerae";"Phycisphaerales";"Phycisphaeraceae";"Phycisphaera";"Phycisphaera mikurensis"
NA;"Phycisphaera";"Phycisphaera Fukunaga & al., 2010";5913417;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Planctomycetes";"Phycisphaerae";"Phycisphaerales";"Phycisphaeraceae";"Phycisphaera";""
NA;"Phycisphaeraceae";"Phycisphaeraceae";5913416;"EXACT";96;"ACCEPTED";"FAMILY";"Bacteria";"Planctomycetes";"Phycisphaerae";"Phycisphaerales";"Phycisphaeraceae";"";""
NA;"Phycisphaerales";"Phycisphaerales";7390951;"EXACT";96;"ACCEPTED";"ORDER";"Bacteria";"Planctomycetes";"Phycisphaerae";"Phycisphaerales";"";"";""
NA;"Phycisphaerae";"Phycisphaerae";8211192;"EXACT";94;"ACCEPTED";"CLASS";"Bacteria";"Planctomycetes";"Phycisphaerae";"";"";"";""
NA;"Gemmata obscuriglobus";"Gemmata obscuriglobus Franzmann & Skerman, 1985";3228999;"EXACT";98;"ACCEPTED";"SPECIES";"Bacteria";"Planctomycetes";"Planctomycetacia";"Planctomycetales";"Planctomycetaceae";"Gemmata";"Gemmata obscuriglobus"
NA;"Gemmata";"Gemmata Franzmann & Skerman, 1985";3228998;"EXACT";94;"ACCEPTED";"GENUS";"Bacteria";"Planctomycetes";"Planctomycetacia";"Planctomycetales";"Planctomycetaceae";"Gemmata";""
