"";"Meth";"Tax";"P1";"P2";"DiffP12";"DiffP21"
"1621";"none";"family";"C+";"C-";"Chthoniidae, Laelapidae, Phytoseiidae, Veigaiidae, Bardeliellidae, Bicosoecidae, Dorylaimidae, Mallomonadaceae, Microlaimidae, Rhabditidae, Stephanoecidae, Uronematidae, Acaridae, Anguinidae, Eosentomidae, Tullbergiidae, Tylencholaimidae, Lacrymariidae, Mononchidae, Longidoridae, Meloidogynidae, Protomycetaceae, Bryometopidae, Chytridiaceae, Leptosphaeriaceae, Anoplophryidae, Acrospermaceae, Basidiobolaceae, Chaetosphaeriaceae, Cunninghamellaceae, Cyphellophoraceae, Halosphaeriaceae, Hydnodontaceae, Orbiliaceae, Trichosporonaceae, Acidiferrobacteraceae, Protoribatidae, Apiaceae, Eustigmataceae";"Epistylidae, Monhysteridae, Myxochloridaceae, Nassulidae, Panagrolaimidae, Tetrahymenidae, Trichocercidae, Dileptidae, Parasitidae, Forficulidae, Theridiidae, Vampyrellidae, Bovidae, Aphelenchidae, Hypogastruridae, Neanuridae, Sminthurididae, Ambisporaceae, Archaeosporaceae, Diversisporaceae, Gigasporaceae, Glomeraceae, Paraglomeraceae, Carabidae, Bulleraceae, Cryphonectriaceae, Dacrymycetaceae, Fibrobacteraceae, Lachnocladiaceae, Spizellomycetaceae, Halieaceae, Myxococcaceae, Sanguibacteraceae, Staphylococcaceae, Julidae, Polydesmidae, Betulaceae, Botryidiopsidaceae, Caryophyllaceae, Chlorococcaceae, Ericaceae, Heteropediaceae, Juncaceae, Lamiaceae, Salicaceae, Taxaceae, Urticaceae, Vaucheriaceae"
"1622";"none";"family";"C+";"C+";"";""
"1623";"none";"family";"C+";"D-";"Chthoniidae, Clavicipitaceae, Phytoseiidae, Bardeliellidae, Bicosoecidae, Brachionidae, Halteriidae, Paulinellidae, Prismatolaimidae, Stephanoecidae, Uronematidae, Vahlkampfiidae, Acaridae, Anguinidae, Aphelenchoididae, Eosentomidae, Elateridae, Hoplolaimidae, Chytridiaceae, Anoplophryidae, Basidiobolaceae, Cucurbitariaceae, Cunninghamellaceae, Mucoraceae, Pluteaceae, Saccharomycetaceae, Trichocomaceae, Bacteriovoracaceae, Enterobacteriaceae, Ktedonobacteraceae, Moraxellaceae, Planococcaceae, Propionibacteriaceae, Rhodobacteraceae, Protoribatidae, Tectocepheidae, Bracteacoccaceae, Eustigmataceae, Naviculaceae, Xanthonemataceae";"Epistylidae, Aphelenchidae, Hypogastruridae, Neanuridae, Onychiuridae, Dileptidae, Parasitidae, Mermithidae, Aphididae, Bovidae, Vampyrellidae, Sebacinaceae, Melastomataceae, Plantaginaceae, Urticaceae"
"1624";"none";"family";"C+";"D+";"Chthoniidae, Veigaiidae, Halteriidae, Hausmanniellidae, Heterophryidae, Microlaimidae, Plectidae, Anguinidae, Eosentomidae, Amphileptidae, Lacrymariidae, Elateridae, Chytridiaceae, Leptosphaeriaceae, Olpidiaceae, Anoplophryidae, Saprolegniaceae, Basidiobolaceae, Hyaloscyphaceae, Mucoraceae, Bacteriovoracaceae, Nannocystaceae, Tectocepheidae, Botryochloridaceae, Bracteacoccaceae";"Monhysteridae, Nassulidae, Aphelenchidae, Neanuridae, Onychiuridae, Dileptidae, Mermithidae, Aphididae, Bovidae, Vampyrellidae, Entylomataceae, Cryptococcaceae, Dacrymycetaceae, Fibrobacteraceae, Lachnocladiaceae, Sebacinaceae, Sphaerobolaceae, Halieaceae, Staphylococcaceae, Tipulidae, Actinochloridaceae, Botryidiopsidaceae, Hydrophyllaceae, Linaceae, Ranunculaceae, Salicaceae"
"1625";"none";"family";"C+";"E-";"Chthoniidae, Laelapidae, Phytoseiidae, Bicosoecidae, Brachionidae, Dorylaimidae, Hausmanniellidae, Paulinellidae, Plectidae, Prismatolaimidae, Qudsianematidae, Rhabditidae, Anguinidae, Aphelenchoididae, Nygolaimidae, Elateridae, Hoplolaimidae, Protomycetaceae, Chytridiaceae, Olpidiaceae, Trypanosomatidae, Anoplophryidae, Hyphochytriaceae, Halosphaeriaceae, Marasmiaceae, Trichocomaceae, Nannocystaceae, Protoribatidae, Tectocepheidae, Aquifoliaceae, Xanthonemataceae";"Anystidae, Parasitidae, Cinetochilidae, Monhysteridae, Onychiuridae, Dileptidae, Bovidae, Vampyrellidae, Cryphonectriaceae, Spizellomycetaceae, Actinospicaceae, Roseiarcaceae, Staphylococcaceae, Chlorococcaceae, Heteropediaceae, Salicaceae, Taxaceae"
"1626";"none";"family";"C+";"E+";"Chthoniidae, Veigaiidae, Cyclidiidae, Dorylaimidae, Microthoracidae, Oxytrichidae, Paulinellidae, Uronematidae, Acaridae, Aphelenchoididae, Eosentomidae, Lacrymariidae, Elateridae, Longidoridae, Pratylenchidae, Chytridiaceae, Anoplophryidae, Hydnodontaceae, Pyxidiophoraceae, Saccharomycetaceae, Trichocomaceae, Enterobacteriaceae, Ktedonobacteraceae, Planococcaceae, Protoribatidae, Tectocepheidae, Alicorhagiidae";"Epistylidae, Monhysteridae, Aphelenchidae, Lonchopteridae, Onychiuridae, Sminthurididae, Acropisthiidae, Parasitidae, Aphididae, Bovidae, Synchytriaceae, Vampyrellidae, Archaeosporaceae, Claroideoglomeraceae, Diversisporaceae, Gigasporaceae, Glomeraceae, Paraglomeraceae, Monocystidae, Theridiidae, Bulleraceae, Catenariaceae, Cryphonectriaceae, Cryptococcaceae, Dacrymycetaceae, Onygenaceae, Sebacinaceae, Sphaerobolaceae, Sporormiaceae, Sanguibacteraceae, Tipulidae, Apocynaceae, Betulaceae, Caricaceae, Caryophyllaceae, Convolvulaceae, Cucurbitaceae, Heteropediaceae, Juglandaceae"
"1627";"none";"family";"C+";"F-";"Chthoniidae, Veigaiidae, Bardeliellidae, Dorylaimidae, Microthoracidae, Paulinellidae, Vexilliferidae, Zoothamniidae, Acaridae, Anguinidae, Tylencholaimidae, Elateridae, Meloidogynidae, Merliniidae, Protomycetaceae, Leptosphaeriaceae, Anoplophryidae, Saprolegniaceae, Halosphaeriaceae, Hyaloscyphaceae, Hymenochaetaceae, Ignavibacteriaceae, Leptospiraceae, Marasmiaceae, Pyxidiophoraceae, Saccharomycetaceae, Serpulaceae, Sporidiobolaceae, Strophariaceae, Acidiferrobacteraceae, Cenarchaeaceae, Clostridiaceae, Clostridiales Family XVII. Incertae Sedis, Enterobacteriaceae, Moraxellaceae, Paenibacillaceae, Propionibacteriaceae, Rhodobacteraceae, Rhodobiaceae, Sphaerobacteraceae, Oribatulidae, Protoribatidae, Apiaceae, Bracteacoccaceae, Chlamydomonadaceae, Eustigmataceae, Klebsormidiaceae, Tribonemataceae, Xanthonemataceae";"Blepharismidae, Cinetochilidae, Oxystominidae, Prorodontidae, Siluaniidae, Teratocephalidae, Tetrahymenidae, Tripylidae, Aphelenchidae, Leiodidae, Neanuridae, Onychiuridae, Poduridae, Dileptidae, Parasitidae, Rhagidiidae, Vampyrellidae, Bovidae, Didymellaceae, Heteroderidae, Cystobasidiaceae, Ambisporaceae, Archaeosporaceae, Claroideoglomeraceae, Diversisporaceae, Gigasporaceae, Glomeraceae, Paraglomeraceae, Curculionidae, Carabidae, Archaeorhizomycetaceae, Catenariaceae, Clavariaceae, Cryptococcaceae, Geastraceae, Lachnocladiaceae, Onygenaceae, Sebacinaceae, Spizellomycetaceae, Coxiellaceae, Halieaceae, Roseiarcaceae, Scarabaeidae, Brachychthoniidae, Campodeidae, Sciaridae, Caryophyllaceae, Cucurbitaceae, Eudubosquellidae, Peridiniaceae, Salicaceae"
"1628";"none";"family";"C+";"F+";"Chthoniidae, Bardeliellidae, Dorylaimidae, Paulinellidae, Rhabditidae, Vexilliferidae, Zoothamniidae, Acaridae, Anguinidae, Tylencholaimidae, Amphileptidae, Elateridae, Meloidogynidae, Merliniidae, Protomycetaceae, Trypanosomatidae, Anoplophryidae, Cucurbitariaceae, Dipodascaceae, Halosphaeriaceae, Hymenochaetaceae, Ignavibacteriaceae, Leptospiraceae, Marasmiaceae, Pyxidiophoraceae, Saccharomycetaceae, Serpulaceae, Spirochaetaceae, Strophariaceae, Tubeufiaceae, Acidothermaceae, Bolbitiaceae, Clostridiales Family XVII. Incertae Sedis, Demequinaceae, Moraxellaceae, Nannocystaceae, Paenibacillaceae, Propionibacteriaceae, Rhodobacteraceae, Rhodobiaceae, Sphaerobacteraceae, Oribatulidae, Protoribatidae, Apiaceae, Bracteacoccaceae, Eustigmataceae, Solanaceae, Tribonemataceae, Xanthonemataceae";"Blepharismidae, Cinetochilidae, Oxystominidae, Prorodontidae, Siluaniidae, Teratocephalidae, Tripylidae, Aphelenchidae, Katiannidae, Neanuridae, Onychiuridae, Poduridae, Sminthurididae, Dileptidae, Diplogasteroididae, Parasitidae, Rhagidiidae, Vampyrellidae, Aphididae, Bovidae, Didymellaceae, Gyropidae, Archaeosporaceae, Claroideoglomeraceae, Diversisporaceae, Gigasporaceae, Glomeraceae, Paraglomeraceae, Chilodonellidae, Carabidae, Archaeorhizomycetaceae, Catenariaceae, Clavariaceae, Cryptococcaceae, Geastraceae, Lachnocladiaceae, Spizellomycetaceae, Sporormiaceae, Actinospicaceae, Coxiellaceae, Halieaceae, Roseiarcaceae, Brachychthoniidae, Campodeidae, Caryophyllaceae, Peridiniaceae, Plantaginaceae, Taxaceae"
"1629";"none";"family";"C+";"G-";"Chthoniidae, Veigaiidae, Bardeliellidae, Dorylaimidae, Mallomonadaceae, Microthoracidae, Paulinellidae, Stemonitidae, Vexilliferidae, Acaridae, Sminthuridae, Tylencholaimidae, Elateridae, Meloidogynidae, Mrakiaceae, Leptosphaeriaceae, Trypanosomatidae, Anoplophryidae, Saprolegniaceae, Bionectriaceae, Halosphaeriaceae, Hyaloscyphaceae, Ignavibacteriaceae, Leptospiraceae, Marasmiaceae, Pyxidiophoraceae, Saccharomycetaceae, Spirochaetaceae, Sporidiobolaceae, Trichocomaceae, Tubeufiaceae, Acidiferrobacteraceae, Bacteriovoracaceae, Cenarchaeaceae, Clostridiales Family XVII. Incertae Sedis, Demequinaceae, Enterobacteriaceae, Ktedonobacteraceae, Methanomassiliicoccaceae, Microthrixaceae, Moraxellaceae, Nannocystaceae, Paenibacillaceae, Planococcaceae, Thermoactinomycetaceae, Oribatulidae, Protoribatidae, Aquifoliaceae, Bracteacoccaceae, Chlamydomonadaceae, Eustigmataceae, Klebsormidiaceae, Palmellaceae, Pleurochloridaceae, Scenedesmaceae, Tribonemataceae, Xanthonemataceae";"Blepharismidae, Epistylidae, Oxystominidae, Teratocephalidae, Tetrahymenidae, Tripylidae, Aphelenchidae, Hypogastruridae, Neanuridae, Onychiuridae, Poduridae, Sminthurididae, Staphylinidae, Dileptidae, Diplogasteroididae, Anystidae, Parasitidae, Rhagidiidae, Aphididae, Bovidae, Didymellaceae, Synchytriaceae, Vampyrellidae, Cystobasidiaceae, Pemphigidae, Ambisporaceae, Archaeosporaceae, Claroideoglomeraceae, Diversisporaceae, Gigasporaceae, Glomeraceae, Paraglomeraceae, Archaeorhizomycetaceae, Clavariaceae, Cryptococcaceae, Endochytriaceae, Lachnocladiaceae, Oligoflexaceae, Onygenaceae, Sphaerobolaceae, Spizellomycetaceae, Coxiellaceae, Halieaceae, Campodeidae, Julidae, Sciaridae, Caryophyllaceae, Eudubosquellidae, Formicidae, Peridiniaceae, Salicaceae, Taxaceae"
"1630";"none";"family";"C+";"G+";"Chthoniidae, Bardeliellidae, Dorylaimidae, Microthoracidae, Paulinellidae, Vexilliferidae, Zoothamniidae, Acaridae, Tylencholaimidae, Amphisiellidae, Anatonchidae, Ceratobasidiaceae, Elateridae, Longidoridae, Meloidogynidae, Protomycetaceae, Bryometopidae, Spirofilidae, Trypanosomatidae, Anoplophryidae, Saprolegniaceae, Corticiaceae, Cucurbitariaceae, Dipodascaceae, Halosphaeriaceae, Hygrophoraceae, Ignavibacteriaceae, Marasmiaceae, Pluteaceae, Pyxidiophoraceae, Saccharomycetaceae, Serpulaceae, Spirochaetaceae, Sporidiobolaceae, Trichocomaceae, Tubeufiaceae, Acidiferrobacteraceae, Aurantimonadaceae, Bacteriovoracaceae, Cenarchaeaceae, Clostridiales Family XVII. Incertae Sedis, Desulfobulbaceae, Enterobacteriaceae, Ktedonobacteraceae, Methanomassiliicoccaceae, Nannocystaceae, Paenibacillaceae, Pasteuriaceae, Oribatulidae, Protoribatidae, Apiaceae, Botryochloridaceae, Bracteacoccaceae, Chaetophoraceae, Chlamydomonadaceae, Eustigmataceae, Naviculaceae, Palmellaceae, Pleurochloridaceae, Xanthonemataceae";"Blepharismidae, Epistylidae, Oxystominidae, Siluaniidae, Teratocephalidae, Tripylidae, Aphelenchidae, Katiannidae, Lonchopteridae, Neanuridae, Onychiuridae, Poduridae, Dileptidae, Diplogasteroididae, Parasitidae, Vampyrellidae, Aphididae, Bovidae, Cystobasidiaceae, Pemphigidae, Archaeosporaceae, Diversisporaceae, Gigasporaceae, Glomeraceae, Paraglomeraceae, Monocystidae, Curculionidae, Archaeorhizomycetaceae, Catenariaceae, Clavariaceae, Cryptococcaceae, Lachnocladiaceae, Onygenaceae, Spizellomycetaceae, Actinospicaceae, Coxiellaceae, Halieaceae, Roseiarcaceae, Brachychthoniidae, Julidae, Tipulidae, Caryophyllaceae, Urticaceae"
"1631";"none";"family";"C+";"H-";"Chthoniidae, Veigaiidae, Bardeliellidae, Dorylaimidae, Microlaimidae, Paraphysomonadaceae, Paulinellidae, Qudsianematidae, Rhabditidae, Vexilliferidae, Zoothamniidae, Acaridae, Anguinidae, Aphelenchoididae, Eosentomidae, Tylencholaimidae, Amphileptidae, Amphisiellidae, Anatonchidae, Mononchidae, Longidoridae, Meloidogynidae, Mrakiaceae, Bryometopidae, Euplotidae, Spirofilidae, Anoplophryidae, Basidiobolaceae, Bionectriaceae, Cucurbitariaceae, Halosphaeriaceae, Holophagaceae, Hyaloscyphaceae, Hygrophoraceae, Hymenochaetaceae, Ignavibacteriaceae, Leptospiraceae, Marasmiaceae, Phycisphaeraceae, Pluteaceae, Pyxidiophoraceae, Saccharomycetaceae, Serpulaceae, Spirochaetaceae, Sporidiobolaceae, Strophariaceae, Trichocomaceae, Acidiferrobacteraceae, Acidothermaceae, Aurantimonadaceae, Bacteriovoracaceae, Bolbitiaceae, Brucellaceae, Cellulomonadaceae, Cenarchaeaceae, Clostridiales Family XVII. Incertae Sedis, Crocinitomicaceae, Demequinaceae, Desulfobulbaceae, Desulfovibrionaceae, Ectothiorhodospiraceae, Hydrogenophilaceae, Hymenobacteraceae, Methanomassiliicoccaceae, Methylophilaceae, Microthrixaceae, Nannocystaceae, Pasteuriaceae, Phaselicystidaceae, Propionibacteriaceae, Rhodobacteraceae, Rhodocyclaceae, Sphaerobacteraceae, Thermoanaerobacteraceae, Vulgatibacteraceae, Galumnidae, Oribatulidae, Protoribatidae, Tectocepheidae, Aquifoliaceae, Botryochloridaceae, Bracteacoccaceae, Chlamydomonadaceae, Eustigmataceae, Naviculaceae, Palmellaceae, Pleurochloridaceae, Tribonemataceae, Xanthonemataceae";"Blepharismidae, Cinetochilidae, Epistylidae, Nassulidae, Rhabdolaimidae, Siluaniidae, Teratocephalidae, Diplogasteroididae, Neanuridae, Onychiuridae, Poduridae, Uropodidae, Acropisthiidae, Dileptidae, Parasitidae, Aphididae, Didymellaceae, Heteroderidae, Synchytriaceae, Vampyrellidae, Archaeosporaceae, Gigasporaceae, Glomeraceae, Paraglomeraceae, Chilodonellidae, Catenariaceae, Clavariaceae, Cryptococcaceae, Endochytriaceae, Geastraceae, Onygenaceae, Sporormiaceae, Actinospicaceae, Roseiarcaceae, Scarabaeidae, Brachychthoniidae, Sciaridae, Tipulidae, Caryophyllaceae, Gyropidae, Lamiaceae, Melastomataceae, Plantaginaceae, Ranunculaceae, Salicaceae, Sapindaceae"
"1632";"none";"family";"C+";"H+";"Chthoniidae, Bardeliellidae, Dorylaimidae, Halteriidae, Microthoracidae, Paulinellidae, Qudsianematidae, Vexilliferidae, Zoothamniidae, Acaridae, Eosentomidae, Sminthuridae, Tylencholaimidae, Amphileptidae, Amphisiellidae, Anatonchidae, Longidoridae, Meloidogynidae, Mrakiaceae, Spirofilidae, Leptosphaeriaceae, Trypanosomatidae, Anoplophryidae, Saprolegniaceae, Cucurbitariaceae, Dipodascaceae, Filobasidiaceae, Halosphaeriaceae, Holophagaceae, Hyaloscyphaceae, Hygrophoraceae, Ignavibacteriaceae, Leptospiraceae, Marasmiaceae, Pluteaceae, Saccharomycetaceae, Serpulaceae, Spirochaetaceae, Sporidiobolaceae, Strophariaceae, Trichocomaceae, Acidiferrobacteraceae, Acidothermaceae, Actinomycetaceae, Alcaligenaceae, Aurantimonadaceae, Beijerinckiaceae, Cenarchaeaceae, Clostridiaceae, Clostridiales Family XVII. Incertae Sedis, Desulfovibrionaceae, Ectothiorhodospiraceae, Enterobacteriaceae, Erythrobacteraceae, Geodermatophilaceae, Methylophilaceae, Moraxellaceae, Nannocystaceae, Nitrosopumilaceae, Paenibacillaceae, Pasteuriaceae, Phaselicystidaceae, Planococcaceae, Propionibacteriaceae, Rhodobacteraceae, Sphaerobacteraceae, Sporichthyaceae, Galumnidae, Oribatulidae, Protoribatidae, Tectocepheidae, Asteraceae, Bacillariaceae, Botryochloridaceae, Bracteacoccaceae, Chaetophoraceae, Chlamydomonadaceae, Eustigmataceae, Naviculaceae, Palmellaceae, Polygonaceae, Tribonemataceae, Xanthonemataceae";"Blepharismidae, Cinetochilidae, Prorodontidae, Rhabdolaimidae, Siluaniidae, Teratocephalidae, Tetrahymenidae, Aphelenchidae, Katiannidae, Neanuridae, Onychiuridae, Poduridae, Uropodidae, Dileptidae, Diplogasteroididae, Parasitidae, Rhagidiidae, Didymellaceae, Synchytriaceae, Vampyrellidae, Cystobasidiaceae, Ambisporaceae, Archaeosporaceae, Claroideoglomeraceae, Diversisporaceae, Gigasporaceae, Glomeraceae, Paraglomeraceae, Chilodonellidae, Curculionidae, Archaeorhizomycetaceae, Catenariaceae, Clavariaceae, Cryptococcaceae, Endochytriaceae, Geastraceae, Lachnocladiaceae, Onygenaceae, Spizellomycetaceae, Sporormiaceae, Actinospicaceae, Roseiarcaceae, Brachychthoniidae, Noctuidae, Caryophyllaceae, Peridiniaceae, Plantaginaceae, Ranunculaceae, Salicaceae"
"1633";"none";"family";"D-";"A-";"Cyrtolophosididae, Epistylidae, Mallomonadaceae, Nordiidae, Oxytrichidae, Vexilliferidae, Hypogastruridae, Neanuridae, Sminthuridae, Amphisiellidae, Mermithidae, Longidoridae, Meloidogynidae, Pratylenchidae, Protomycetaceae, Spirofilidae, Vampyrellidae, Acrospermaceae, Chaetosphaeriaceae, Hyaloscyphaceae, Hydnodontaceae, Hymenochaetaceae, Marasmiaceae, Sebacinaceae, Trichosporonaceae, Bacteroidaceae, Catenulisporaceae, Clostridiales Family XVII. Incertae Sedis, Dehalococcoidaceae, Rhodothermaceae, Thermoactinomycetaceae, Thermomonosporaceae, Oribatulidae, Chaetophoraceae, Melastomataceae, Plantaginaceae";"Anystidae, Phytoseiidae, Rhagidiidae, Bardeliellidae, Blepharismidae, Brachionidae, Myxochloridaceae, Siluaniidae, Stephanoecidae, Tetrahymenidae, Uronematidae, Vahlkampfiidae, Acropisthiidae, Carabidae, Acaridae, Anguinidae, Aphelenchoididae, Histiostomatidae, Monocystidae, Curculionidae, Entylomataceae, Archaeorhizomycetaceae, Clavariaceae, Cryphonectriaceae, Cucurbitariaceae, Dacrymycetaceae, Fibrobacteraceae, Hoehnelomycetaceae, Lachnocladiaceae, Mucoraceae, Oligoflexaceae, Pluteaceae, Pterulaceae, Spizellomycetaceae, Halieaceae, Myxococcaceae, Planococcaceae, Propionibacteriaceae, Rhodobacteraceae, Saprospiraceae, Julidae, Tectocepheidae, Actinochloridaceae, Botryidiopsidaceae, Bracteacoccaceae, Caricaceae, Centritractaceae, Chlorococcaceae, Convolvulaceae, Diadesmidaceae, Ericaceae, Eudubosquellidae, Eustigmataceae, Heteropediaceae, Mischococcaceae, Naviculaceae, Papaveraceae, Salicaceae, Xanthonemataceae"
"1634";"none";"family";"D-";"A+";"Cyclidiidae, Dorylaimidae, Epistylidae, Mallomonadaceae, Nordiidae, Qudsianematidae, Vexilliferidae, Zoothamniidae, Hypogastruridae, Neanuridae, Onychiuridae, Sminthuridae, Tullbergiidae, Amphisiellidae, Mononchidae, Nygolaimidae, Mermithidae, Longidoridae, Meloidogynidae, Pratylenchidae, Protomycetaceae, Spirofilidae, Vampyrellidae, Leptosphaeriaceae, Acrospermaceae, Chaetosphaeriaceae, Corticiaceae, Hydnodontaceae, Hymenochaetaceae, Marasmiaceae, Sebacinaceae, Spirochaetaceae, Trichosporonaceae, Acidiferrobacteraceae, Bacteroidaceae, Catenulisporaceae, Clostridiales Family XVII. Incertae Sedis, Dehalococcoidaceae, Rhodanobacteraceae, Rhodothermaceae, Thermoactinomycetaceae, Thermomonosporaceae, Verrucomicrobia subdivision 3, Oribatulidae, Aquifoliaceae, Klebsormidiaceae, Urticaceae";"Anystidae, Lithobiidae, Rhagidiidae, Bardeliellidae, Blepharismidae, Brachionidae, Halteriidae, Myxochloridaceae, Prismatolaimidae, Siluaniidae, Tetrahymenidae, Trichocercidae, Uronematidae, Vahlkampfiidae, Acropisthiidae, Acaridae, Anguinidae, Aphelenchoididae, Histiostomatidae, Sminthurididae, Cystobasidiaceae, Chilodonellidae, Anoplophryidae, Curculionidae, Archaeorhizomycetaceae, Basidiobolaceae, Clavariaceae, Cryphonectriaceae, Dacrymycetaceae, Fibrobacteraceae, Hoehnelomycetaceae, Lachnocladiaceae, Oligoflexaceae, Pluteaceae, Pterulaceae, Saccharomycetaceae, Spizellomycetaceae, Enterobacteriaceae, Halieaceae, Moraxellaceae, Myxococcaceae, Planococcaceae, Propionibacteriaceae, Rhodobacteraceae, Saprospiraceae, Scarabaeidae, Julidae, Polydesmidae, Tectocepheidae, Actinochloridaceae, Botryidiopsidaceae, Braconidae, Bracteacoccaceae, Centritractaceae, Chlorococcaceae, Convolvulaceae, Diadesmidaceae, Eustigmataceae, Heteropediaceae, Hydrophyllaceae, Lamiaceae, Mischococcaceae, Naviculaceae, Sapindaceae, Taxaceae, Vaucheriaceae, Xanthonemataceae"
"1635";"none";"family";"D-";"B-";"Cyclidiidae, Epistylidae, Mallomonadaceae, Microlaimidae, Microthoracidae, Nordiidae, Oxytrichidae, Vorticellidae, Hypogastruridae, Neanuridae, Onychiuridae, Sminthuridae, Amphisiellidae, Lacrymariidae, Mononchidae, Nygolaimidae, Veigaiidae, Mermithidae, Ceratobasidiaceae, Longidoridae, Meloidogynidae, Pratylenchidae, Protomycetaceae, Spirofilidae, Acrospermaceae, Chaetosphaeriaceae, Corticiaceae, Hyaloscyphaceae, Hydnodontaceae, Marasmiaceae, Pyxidiophoraceae, Sebacinaceae, Serpulaceae, Spirochaetaceae, Acetobacteraceae, Acidiferrobacteraceae, Bacteroidaceae, Catenulisporaceae, Clostridiales Family XVII. Incertae Sedis, Dehalococcoidaceae, Rhodanobacteraceae, Rhodothermaceae, Thermoactinomycetaceae, Thermomonosporaceae, Verrucomicrobia subdivision 3, Galumnidae, Oribatulidae, Melastomataceae, Plantaginaceae";"Rhagidiidae, Bardeliellidae, Blepharismidae, Brachionidae, Halteriidae, Isolaimiidae, Myxochloridaceae, Prismatolaimidae, Siluaniidae, Tetrahymenidae, Uronematidae, Vahlkampfiidae, Chytridiaceae, Acropisthiidae, Thripidae, Acaridae, Anguinidae, Aphelenchoididae, Eosentomidae, Sminthurididae, Curculionidae, Entylomataceae, Archaeorhizomycetaceae, Bulleraceae, Clavariaceae, Cryphonectriaceae, Cryptococcaceae, Cucurbitariaceae, Dacrymycetaceae, Fibrobacteraceae, Hoehnelomycetaceae, Lachnocladiaceae, Mucoraceae, Oligoflexaceae, Pluteaceae, Pterulaceae, Saccharomycetaceae, Spizellomycetaceae, Halieaceae, Moraxellaceae, Myxococcaceae, Propionibacteriaceae, Rhodobacteraceae, Saprospiraceae, Polydesmidae, Tectocepheidae, Actinochloridaceae, Botryidiopsidaceae, Bracteacoccaceae, Centritractaceae, Chlorococcaceae, Diadesmidaceae, Eudubosquellidae, Eustigmataceae, Heteropediaceae, Hydrophyllaceae, Lamiaceae, Linaceae, Mischococcaceae, Naviculaceae, Papaveraceae, Ranunculaceae, Salicaceae, Xanthonemataceae"
"1636";"none";"family";"D-";"B+";"Dorylaimidae, Epistylidae, Leptomyxidae, Mallomonadaceae, Microthoracidae, Nordiidae, Oxytrichidae, Qudsianematidae, Vexilliferidae, Vorticellidae, Aphelenchidae, Hypogastruridae, Neanuridae, Sminthuridae, Amphisiellidae, Anatonchidae, Mononchidae, Laelapidae, Mermithidae, Longidoridae, Meloidogynidae, Pratylenchidae, Protomycetaceae, Spirofilidae, Chaetosphaeriaceae, Corticiaceae, Dipodascaceae, Filobasidiaceae, Hyaloscyphaceae, Hydnodontaceae, Hymenochaetaceae, Marasmiaceae, Sebacinaceae, Serpulaceae, Spirochaetaceae, Trichosporonaceae, Acetobacteraceae, Acidiferrobacteraceae, Bacteroidaceae, Catenulisporaceae, Cenarchaeaceae, Clostridiales Family XVII. Incertae Sedis, Dehalococcoidaceae, Nannocystaceae, Rhodanobacteraceae, Rhodothermaceae, Thermoactinomycetaceae, Thermomonosporaceae, Verrucomicrobia subdivision 3, Oribatulidae, Apiaceae, Klebsormidiaceae, Melastomataceae, Plantaginaceae, Urticaceae";"Anystidae, Blepharismidae, Brachionidae, Halteriidae, Monhysteridae, Myxochloridaceae, Prismatolaimidae, Siluaniidae, Uronematidae, Acaridae, Anguinidae, Aphelenchoididae, Histiostomatidae, Sminthurididae, Acropisthiidae, Carabidae, Thripidae, Ambisporaceae, Archaeosporaceae, Diversisporaceae, Gigasporaceae, Glomeraceae, Paraglomeraceae, Monocystidae, Entylomataceae, Archaeorhizomycetaceae, Clavariaceae, Cryphonectriaceae, Fibrobacteraceae, Hoehnelomycetaceae, Lachnocladiaceae, Mucoraceae, Oligoflexaceae, Onygenaceae, Spizellomycetaceae, Halieaceae, Moraxellaceae, Myxococcaceae, Planococcaceae, Propionibacteriaceae, Rhodobacteraceae, Sanguibacteraceae, Saprospiraceae, Polydesmidae, Tectocepheidae, Actinochloridaceae, Botryidiopsidaceae, Bracteacoccaceae, Caryophyllaceae, Centritractaceae, Chlorococcaceae, Convolvulaceae, Diadesmidaceae, Eudubosquellidae, Eustigmataceae, Geraniaceae, Heteropediaceae, Hydrophyllaceae, Lamiaceae, Mischococcaceae, Naviculaceae, Ranunculaceae, Salicaceae, Xanthonemataceae"
